5/16/2019, 1:55:40 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.001,-1.77E-10,,
,0.003,-3.53E-10,,
,0.005,-5.28E-10,,
,0.007,-5.24E-10,,
,0.009,-5.21E-10,,
,0.011,-5.19E-10,,
,0.013,-5.17E-10,,
,0.015,-5.15E-10,,
,0.017,-5.12E-10,,
,0.019,-5.09E-10,,
,0.021,-5.05E-10,,
,0.023,-5.01E-10,,
,0.025,-4.98E-10,,
,0.027,-4.96E-10,,
,0.029,-4.95E-10,,
,0.031,-4.93E-10,,
,0.033,-4.91E-10,,
,0.035,-4.88E-10,,
,0.037,-4.84E-10,,
,0.039,-4.80E-10,,
,0.041,-4.76E-10,,
,0.043,-4.73E-10,,
,0.045,-4.72E-10,,
,0.047,-4.70E-10,,
,0.049,-4.68E-10,,
,0.051,-4.65E-10,,
,0.053,-4.62E-10,,
,0.055,-4.58E-10,,
,0.057,-4.55E-10,,
,0.059,-4.52E-10,,
,0.061,-4.50E-10,,
,0.063,-4.49E-10,,
,0.065,-4.47E-10,,
,0.067,-4.45E-10,,
,0.069,-4.42E-10,,
,0.071,-4.38E-10,,
,0.073,-4.34E-10,,
,0.075,-4.31E-10,,
,0.077,-4.28E-10,,
,0.079,-4.27E-10,,
,0.081,-4.25E-10,,
,0.083,-4.23E-10,,
,0.085,-4.20E-10,,
,0.087,-4.16E-10,,
,0.089,-4.13E-10,,
,0.091,-4.10E-10,,
,0.093,-4.09E-10,,
,0.095,-4.07E-10,,
,0.097,-4.06E-10,,
,0.099,-4.05E-10,,
,0.101,-4.03E-10,,
,0.103,-4.00E-10,,
,0.105,-3.97E-10,,
,0.107,-3.93E-10,,
,0.109,-3.90E-10,,
,0.111,-3.88E-10,,
,0.113,-3.87E-10,,
,0.115,-3.85E-10,,
,0.117,-3.84E-10,,
,0.119,-3.82E-10,,
,0.121,-3.80E-10,,
,0.123,-3.78E-10,,
,0.125,-3.76E-10,,
,0.127,-3.75E-10,,
,0.129,-3.75E-10,,
,0.131,-3.75E-10,,
,0.133,-3.74E-10,,
,0.135,-3.72E-10,,
,0.137,-3.69E-10,,
,0.139,-3.66E-10,,
,0.141,-3.64E-10,,
,0.143,-3.62E-10,,
,0.145,-3.62E-10,,
,0.147,-3.62E-10,,
,0.149,-3.61E-10,,
,0.151,-3.60E-10,,
,0.153,-3.58E-10,,
,0.155,-3.56E-10,,
,0.157,-3.54E-10,,
,0.159,-3.53E-10,,
,0.161,-3.53E-10,,
,0.163,-3.53E-10,,
,0.165,-3.53E-10,,
,0.167,-3.52E-10,,
,0.169,-3.51E-10,,
,0.171,-3.50E-10,,
,0.173,-3.48E-10,,
,0.175,-3.46E-10,,
,0.177,-3.45E-10,,
,0.179,-3.45E-10,,
,0.181,-3.45E-10,,
,0.183,-3.44E-10,,
,0.185,-3.43E-10,,
,0.187,-3.41E-10,,
,0.189,-3.40E-10,,
,0.191,-3.39E-10,,
,0.193,-3.39E-10,,
,0.195,-3.39E-10,,
,0.197,-3.40E-10,,
,0.199,-3.40E-10,,
,0.201,-3.39E-10,,
,0.203,-3.37E-10,,
,0.205,-3.35E-10,,
,0.207,-3.33E-10,,
,0.209,-3.31E-10,,
,0.211,-3.31E-10,,
,0.213,-3.30E-10,,
,0.215,-3.30E-10,,
,0.217,-3.29E-10,,
,0.219,-3.27E-10,,
,0.221,-3.25E-10,,
,0.223,-3.23E-10,,
,0.225,-3.22E-10,,
,0.227,-3.21E-10,,
,0.229,-3.21E-10,,
,0.231,-3.21E-10,,
,0.233,-3.21E-10,,
,0.235,-3.19E-10,,
,0.237,-3.17E-10,,
,0.239,-3.15E-10,,
,0.241,-3.13E-10,,
,0.243,-3.12E-10,,
,0.245,-3.11E-10,,
,0.247,-3.11E-10,,
,0.249,-3.10E-10,,
,0.251,-3.08E-10,,
,0.253,-3.06E-10,,
,0.255,-3.04E-10,,
,0.257,-3.02E-10,,
,0.259,-3.01E-10,,
,0.261,-3.00E-10,,
,0.263,-3.00E-10,,
,0.265,-3.00E-10,,
,0.267,-2.99E-10,,
,0.269,-2.97E-10,,
,0.271,-2.94E-10,,
,0.273,-2.92E-10,,
,0.275,-2.90E-10,,
,0.277,-2.89E-10,,
,0.279,-2.88E-10,,
,0.281,-2.88E-10,,
,0.283,-2.87E-10,,
,0.285,-2.85E-10,,
,0.287,-2.83E-10,,
,0.289,-2.80E-10,,
,0.291,-2.78E-10,,
,0.293,-2.77E-10,,
,0.295,-2.76E-10,,
,0.297,-2.76E-10,,
,0.299,-2.75E-10,,
,0.301,-2.74E-10,,
,0.303,-2.72E-10,,
,0.305,-2.69E-10,,
,0.307,-2.67E-10,,
,0.309,-2.66E-10,,
,0.311,-2.65E-10,,
,0.313,-2.65E-10,,
,0.315,-2.64E-10,,
,0.317,-2.63E-10,,
,0.319,-2.61E-10,,
,0.321,-2.59E-10,,
,0.323,-2.56E-10,,
