5/8/2019, 8:22:12 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.000994,-1.76E-12,,
,0.002994,-3.09E-12,,
,0.004994,-4.86E-12,,
,0.006994,-4.75E-12,,
,0.008994,-5.50E-12,,
,0.010994,-5.82E-12,,
,0.012994,-6.36E-12,,
,0.014994,-6.25E-12,,
,0.016994,-5.93E-12,,
,0.018994,-5.50E-12,,
,0.020994,-4.96E-12,,
,0.022994,-4.75E-12,,
,0.024994,-4.75E-12,,
,0.026994,-5.39E-12,,
,0.028994,-5.93E-12,,
,0.030994,-6.25E-12,,
,0.032994,-6.04E-12,,
,0.034994,-5.39E-12,,
,0.036994,-4.75E-12,,
,0.038994,-4.32E-12,,
,0.040994,-4.53E-12,,
,0.042994,-5.07E-12,,
,0.044994,-5.82E-12,,
,0.046994,-6.36E-12,,
,0.048994,-6.25E-12,,
,0.050994,-5.82E-12,,
,0.052994,-5.07E-12,,
,0.054994,-4.75E-12,,
,0.056994,-4.64E-12,,
,0.058994,-4.86E-12,,
,0.060994,-5.39E-12,,
,0.062994,-5.82E-12,,
,0.064994,-6.04E-12,,
,0.066994,-5.50E-12,,
,0.068994,-4.96E-12,,
,0.070994,-4.43E-12,,
,0.072994,-4.21E-12,,
,0.074994,-4.10E-12,,
,0.076994,-4.53E-12,,
,0.078994,-5.07E-12,,
,0.080994,-5.29E-12,,
,0.082994,-5.07E-12,,
,0.084994,-4.43E-12,,
,0.086994,-3.89E-12,,
,0.088994,-3.46E-12,,
,0.090994,-3.68E-12,,
,0.092994,-4.21E-12,,
,0.094994,-4.86E-12,,
,0.096994,-5.07E-12,,
,0.098994,-4.96E-12,,
,0.100994,-4.64E-12,,
,0.102994,-3.89E-12,,
,0.104994,-3.35E-12,,
,0.106994,-3.25E-12,,
,0.108994,-3.68E-12,,
,0.110994,-4.21E-12,,
,0.112994,-4.53E-12,,
,0.114994,-4.64E-12,,
,0.116994,-4.21E-12,,
,0.118994,-3.57E-12,,
,0.120994,-3.03E-12,,
,0.122994,-3.03E-12,,
,0.124994,-3.25E-12,,
,0.126994,-3.78E-12,,
,0.128994,-4.21E-12,,
,0.130994,-4.64E-12,,
,0.132994,-4.64E-12,,
,0.134994,-4.00E-12,,
,0.136994,-3.35E-12,,
,0.138994,-2.92E-12,,
,0.140994,-3.46E-12,,
,0.142994,-4.00E-12,,
,0.144994,-4.86E-12,,
,0.146994,-5.18E-12,,
,0.148994,-5.07E-12,,
,0.150994,-4.43E-12,,
,0.152994,-3.89E-12,,
,0.154994,-3.57E-12,,
,0.156994,-3.78E-12,,
,0.158994,-4.21E-12,,
,0.160994,-5.18E-12,,
,0.162994,-5.82E-12,,
,0.164994,-6.14E-12,,
,0.166994,-5.93E-12,,
,0.168994,-5.50E-12,,
,0.170994,-4.96E-12,,
,0.172994,-4.75E-12,,
,0.174994,-5.29E-12,,
,0.176994,-6.04E-12,,
,0.178994,-6.90E-12,,
,0.180994,-7.00E-12,,
,0.182994,-6.90E-12,,
,0.184994,-6.25E-12,,
,0.186994,-5.82E-12,,
,0.188994,-5.82E-12,,
,0.190994,-6.25E-12,,
,0.192994,-6.68E-12,,
,0.194994,-7.33E-12,,
,0.196994,-7.65E-12,,
,0.198994,-7.86E-12,,
,0.200994,-7.54E-12,,
,0.202994,-7.33E-12,,
,0.204994,-7.00E-12,,
,0.206994,-7.00E-12,,
,0.208994,-7.22E-12,,
,0.210994,-7.75E-12,,
,0.212994,-8.18E-12,,
,0.214994,-8.40E-12,,
,0.216994,-8.18E-12,,
,0.218994,-7.54E-12,,
,0.220994,-7.00E-12,,
,0.222994,-6.68E-12,,
,0.224994,-7.00E-12,,
,0.226994,-7.43E-12,,
,0.228994,-7.86E-12,,
,0.230994,-8.08E-12,,
,0.232994,-7.86E-12,,
,0.234994,-7.43E-12,,
,0.236994,-6.57E-12,,
,0.238994,-6.25E-12,,
,0.240994,-6.36E-12,,
,0.242994,-7.22E-12,,
,0.244994,-7.75E-12,,
,0.246994,-8.08E-12,,
,0.248994,-7.75E-12,,
,0.250994,-7.22E-12,,
,0.252994,-6.57E-12,,
,0.254994,-6.14E-12,,
,0.256994,-6.04E-12,,
,0.258994,-6.47E-12,,
,0.260994,-6.79E-12,,
,0.262994,-7.22E-12,,
,0.264994,-7.11E-12,,
,0.266994,-6.90E-12,,
,0.268994,-6.04E-12,,
,0.270994,-5.61E-12,,
,0.272994,-5.18E-12,,
,0.274994,-5.82E-12,,
,0.276994,-6.25E-12,,
,0.278994,-6.79E-12,,
,0.280994,-6.68E-12,,
,0.282994,-6.36E-12,,
,0.284994,-5.82E-12,,
,0.286994,-5.29E-12,,
,0.288994,-4.75E-12,,
,0.290994,-4.75E-12,,
,0.292994,-4.96E-12,,
,0.294994,-5.50E-12,,
,0.296994,-5.61E-12,,
,0.298994,-5.50E-12,,
,0.300994,-5.07E-12,,
,0.302994,-4.43E-12,,
