5/8/2019, 7:50:16 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,1.06E-10,,
,0.004,2.11E-10,,
,0.006,3.16E-10,,
,0.008,3.14E-10,,
,0.01,3.12E-10,,
,0.012,3.09E-10,,
,0.014,3.06E-10,,
,0.016,3.03E-10,,
,0.018,3.01E-10,,
,0.02,3.00E-10,,
,0.022,2.99E-10,,
,0.024,2.97E-10,,
,0.026,2.95E-10,,
,0.028,2.92E-10,,
,0.03,2.89E-10,,
,0.032,2.86E-10,,
,0.034,2.85E-10,,
,0.036,2.84E-10,,
,0.038,2.83E-10,,
,0.04,2.82E-10,,
,0.042,2.80E-10,,
,0.044,2.78E-10,,
,0.046,2.75E-10,,
,0.048,2.73E-10,,
,0.05,2.71E-10,,
,0.052,2.70E-10,,
,0.054,2.69E-10,,
,0.056,2.69E-10,,
,0.058,2.68E-10,,
,0.06,2.66E-10,,
,0.062,2.64E-10,,
,0.064,2.62E-10,,
,0.066,2.60E-10,,
,0.068,2.59E-10,,
,0.07,2.59E-10,,
,0.072,2.60E-10,,
,0.074,2.60E-10,,
,0.076,2.59E-10,,
,0.078,2.57E-10,,
,0.08,2.55E-10,,
,0.082,2.54E-10,,
,0.084,2.53E-10,,
,0.086,2.54E-10,,
,0.088,2.54E-10,,
,0.09,2.55E-10,,
,0.092,2.54E-10,,
,0.094,2.53E-10,,
,0.096,2.52E-10,,
,0.098,2.50E-10,,
,0.1,2.50E-10,,
,0.102,2.50E-10,,
,0.104,2.51E-10,,
,0.106,2.52E-10,,
,0.108,2.52E-10,,
,0.11,2.51E-10,,
,0.112,2.50E-10,,
,0.114,2.49E-10,,
,0.116,2.48E-10,,
,0.118,2.49E-10,,
,0.12,2.50E-10,,
,0.122,2.50E-10,,
,0.124,2.51E-10,,
,0.126,2.51E-10,,
,0.128,2.50E-10,,
,0.13,2.49E-10,,
,0.132,2.49E-10,,
,0.134,2.49E-10,,
,0.136,2.50E-10,,
,0.138,2.51E-10,,
,0.14,2.52E-10,,
,0.142,2.52E-10,,
,0.144,2.52E-10,,
,0.146,2.51E-10,,
,0.148,2.51E-10,,
,0.15,2.52E-10,,
,0.152,2.53E-10,,
,0.154,2.54E-10,,
,0.156,2.56E-10,,
,0.158,2.57E-10,,
,0.16,2.58E-10,,
,0.162,2.58E-10,,
,0.164,2.57E-10,,
,0.166,2.58E-10,,
,0.168,2.59E-10,,
,0.17,2.62E-10,,
,0.172,2.64E-10,,
,0.174,2.66E-10,,
,0.176,2.67E-10,,
,0.178,2.68E-10,,
,0.18,2.68E-10,,
,0.182,2.70E-10,,
,0.184,2.72E-10,,
,0.186,2.74E-10,,
,0.188,2.78E-10,,
,0.19,2.81E-10,,
,0.192,2.83E-10,,
,0.194,2.84E-10,,
,0.196,2.86E-10,,
,0.198,2.88E-10,,
,0.2,2.90E-10,,
,0.202,2.93E-10,,
,0.204,2.97E-10,,
,0.206,3.01E-10,,
,0.208,3.05E-10,,
,0.21,3.07E-10,,
,0.212,3.10E-10,,
,0.214,3.12E-10,,
,0.216,3.16E-10,,
,0.218,3.20E-10,,
,0.22,3.25E-10,,
,0.222,3.30E-10,,
,0.224,3.34E-10,,
,0.226,3.38E-10,,
,0.228,3.41E-10,,
,0.23,3.45E-10,,
,0.232,3.49E-10,,
,0.234,3.53E-10,,
,0.236,3.58E-10,,
,0.238,3.64E-10,,
,0.24,3.70E-10,,
,0.242,3.75E-10,,
,0.244,3.79E-10,,
,0.246,3.83E-10,,
,0.248,3.87E-10,,
,0.25,3.92E-10,,
,0.252,3.98E-10,,
,0.254,4.04E-10,,
,0.256,4.10E-10,,
,0.258,4.16E-10,,
,0.26,4.21E-10,,
,0.262,4.25E-10,,
,0.264,4.30E-10,,
,0.266,4.34E-10,,
,0.268,4.40E-10,,
,0.27,4.46E-10,,
,0.272,4.53E-10,,
,0.274,4.58E-10,,
,0.276,4.64E-10,,
,0.278,4.68E-10,,
,0.28,4.73E-10,,
,0.282,4.78E-10,,
,0.284,4.84E-10,,
,0.286,4.90E-10,,
,0.288,4.96E-10,,
,0.29,5.03E-10,,
,0.292,5.08E-10,,
,0.294,5.13E-10,,
,0.296,5.17E-10,,
,0.298,5.21E-10,,
,0.3,5.25E-10,,
,0.302,5.31E-10,,
,0.304,5.36E-10,,
,0.306,5.42E-10,,
,0.308,5.47E-10,,
,0.31,5.52E-10,,
,0.312,5.55E-10,,
,0.314,5.58E-10,,
,0.316,5.62E-10,,
,0.318,5.67E-10,,
,0.32,5.71E-10,,
,0.322,5.76E-10,,
,0.324,5.81E-10,,
,0.326,5.85E-10,,
,0.328,5.87E-10,,
,0.33,5.90E-10,,
,0.332,5.93E-10,,
,0.334,5.96E-10,,
,0.336,6.01E-10,,
,0.338,6.05E-10,,
,0.34,6.10E-10,,
,0.342,6.13E-10,,
,0.344,6.16E-10,,
,0.346,6.18E-10,,
,0.348,6.20E-10,,
