5/7/2019, 7:10:26 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,4.25E-11,,
,0.004,8.55E-11,,
,0.006,1.29E-10,,
,0.008,1.31E-10,,
,0.01,1.33E-10,,
,0.012,1.33E-10,,
,0.014,1.34E-10,,
,0.016,1.34E-10,,
,0.018,1.35E-10,,
,0.02,1.35E-10,,
,0.022,1.36E-10,,
,0.024,1.37E-10,,
,0.026,1.38E-10,,
,0.028,1.38E-10,,
,0.03,1.38E-10,,
,0.032,1.37E-10,,
,0.034,1.36E-10,,
,0.036,1.36E-10,,
,0.038,1.36E-10,,
,0.04,1.36E-10,,
,0.042,1.36E-10,,
,0.044,1.35E-10,,
,0.046,1.35E-10,,
,0.048,1.34E-10,,
,0.05,1.32E-10,,
,0.052,1.31E-10,,
,0.054,1.31E-10,,
,0.056,1.30E-10,,
,0.058,1.30E-10,,
,0.06,1.29E-10,,
,0.062,1.28E-10,,
,0.064,1.26E-10,,
,0.066,1.24E-10,,
,0.068,1.22E-10,,
,0.07,1.21E-10,,
,0.072,1.20E-10,,
,0.074,1.19E-10,,
,0.076,1.18E-10,,
,0.078,1.17E-10,,
,0.08,1.16E-10,,
,0.082,1.14E-10,,
,0.084,1.13E-10,,
,0.086,1.12E-10,,
,0.088,1.11E-10,,
,0.09,1.10E-10,,
,0.092,1.09E-10,,
,0.094,1.08E-10,,
,0.096,1.06E-10,,
,0.098,1.04E-10,,
,0.1,1.02E-10,,
,0.102,1.01E-10,,
,0.104,9.92E-11,,
,0.106,9.83E-11,,
,0.108,9.76E-11,,
,0.11,9.68E-11,,
,0.112,9.57E-11,,
,0.114,9.43E-11,,
,0.116,9.27E-11,,
,0.118,9.11E-11,,
,0.12,9.00E-11,,
,0.122,8.92E-11,,
,0.124,8.87E-11,,
,0.126,8.78E-11,,
,0.128,8.68E-11,,
,0.13,8.52E-11,,
,0.132,8.34E-11,,
,0.134,8.15E-11,,
,0.136,8.00E-11,,
,0.138,7.91E-11,,
,0.14,7.86E-11,,
,0.142,7.81E-11,,
,0.144,7.74E-11,,
,0.146,7.63E-11,,
,0.148,7.49E-11,,
,0.15,7.39E-11,,
,0.152,7.33E-11,,
,0.154,7.32E-11,,
,0.156,7.32E-11,,
,0.158,7.33E-11,,
,0.16,7.32E-11,,
,0.162,7.27E-11,,
,0.164,7.18E-11,,
,0.166,7.12E-11,,
,0.168,7.05E-11,,
,0.17,7.04E-11,,
,0.172,7.05E-11,,
,0.174,7.10E-11,,
,0.176,7.16E-11,,
,0.178,7.19E-11,,
,0.18,7.17E-11,,
,0.182,7.13E-11,,
,0.184,7.10E-11,,
,0.186,7.13E-11,,
,0.188,7.22E-11,,
,0.19,7.34E-11,,
,0.192,7.51E-11,,
,0.194,7.64E-11,,
,0.196,7.73E-11,,
,0.198,7.76E-11,,
,0.2,7.81E-11,,
,0.202,7.94E-11,,
,0.204,8.14E-11,,
,0.206,8.40E-11,,
,0.208,8.65E-11,,
,0.21,8.91E-11,,
,0.212,9.10E-11,,
,0.214,9.29E-11,,
,0.216,9.51E-11,,
,0.218,9.78E-11,,
,0.22,1.01E-10,,
,0.222,1.05E-10,,
,0.224,1.09E-10,,
,0.226,1.14E-10,,
,0.228,1.18E-10,,
,0.23,1.21E-10,,
,0.232,1.25E-10,,
,0.234,1.28E-10,,
,0.236,1.32E-10,,
,0.238,1.36E-10,,
,0.24,1.41E-10,,
,0.242,1.47E-10,,
,0.244,1.51E-10,,
,0.246,1.56E-10,,
,0.248,1.60E-10,,
,0.25,1.64E-10,,
,0.252,1.69E-10,,
,0.254,1.74E-10,,
,0.256,1.80E-10,,
,0.258,1.87E-10,,
,0.26,1.93E-10,,
,0.262,1.98E-10,,
,0.264,2.03E-10,,
,0.266,2.07E-10,,
,0.268,2.11E-10,,
,0.27,2.17E-10,,
,0.272,2.23E-10,,
,0.274,2.29E-10,,
,0.276,2.35E-10,,
,0.278,2.41E-10,,
,0.28,2.45E-10,,
,0.282,2.50E-10,,
,0.284,2.55E-10,,
,0.286,2.60E-10,,
,0.288,2.65E-10,,
,0.29,2.71E-10,,
,0.292,2.78E-10,,
,0.294,2.83E-10,,
,0.296,2.87E-10,,
,0.298,2.91E-10,,
,0.3,2.94E-10,,
,0.302,2.98E-10,,
,0.304,3.02E-10,,
,0.306,3.07E-10,,
,0.308,3.12E-10,,
,0.31,3.17E-10,,
,0.312,3.21E-10,,
,0.314,3.24E-10,,
,0.316,3.26E-10,,
,0.318,3.29E-10,,
,0.32,3.33E-10,,
,0.322,3.38E-10,,
,0.324,3.42E-10,,
,0.326,3.47E-10,,
,0.328,3.51E-10,,
,0.33,3.53E-10,,
,0.332,3.55E-10,,
,0.334,3.57E-10,,
,0.336,3.60E-10,,
,0.338,3.64E-10,,
,0.34,3.68E-10,,
,0.342,3.73E-10,,
,0.344,3.77E-10,,
,0.346,3.81E-10,,
,0.348,3.83E-10,,
