5/7/2019, 8:11:26 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,2.99E-06,-5.41E-12,,
,0.002003,-1.05E-11,,
,0.004003,-1.53E-11,,
,0.006003,-1.43E-11,,
,0.008003,-1.28E-11,,
,0.010003,-1.15E-11,,
,0.012003,-1.03E-11,,
,0.014003,-9.90E-12,,
,0.016003,-9.58E-12,,
,0.018003,-9.37E-12,,
,0.020003,-9.15E-12,,
,0.022003,-8.29E-12,,
,0.024003,-7.33E-12,,
,0.026003,-6.04E-12,,
,0.028003,-4.86E-12,,
,0.030003,-3.78E-12,,
,0.032003,-3.35E-12,,
,0.034003,-3.35E-12,,
,0.036003,-3.35E-12,,
,0.038003,-2.82E-12,,
,0.040003,-1.96E-12,,
,0.042003,-8.84E-13,,
,0.044003,2.97E-13,,
,0.046003,1.05E-12,,
,0.048003,1.37E-12,,
,0.050003,1.05E-12,,
,0.052003,1.05E-12,,
,0.054003,1.16E-12,,
,0.056003,1.69E-12,,
,0.058003,2.44E-12,,
,0.060003,3.41E-12,,
,0.062003,4.05E-12,,
,0.064003,3.84E-12,,
,0.066003,3.41E-12,,
,0.068003,2.87E-12,,
,0.070003,2.77E-12,,
,0.072003,2.77E-12,,
,0.074003,2.98E-12,,
,0.076003,3.20E-12,,
,0.078003,3.30E-12,,
,0.080003,2.98E-12,,
,0.082003,2.66E-12,,
,0.084003,1.80E-12,,
,0.086003,1.26E-12,,
,0.088003,1.89E-13,,
,0.090003,-3.47E-13,,
,0.092003,-7.77E-13,,
,0.094003,-9.92E-13,,
,0.096003,-1.42E-12,,
,0.098003,-2.39E-12,,
,0.100003,-3.68E-12,,
,0.102003,-5.07E-12,,
,0.104003,-6.25E-12,,
,0.106003,-7.00E-12,,
,0.108003,-7.65E-12,,
,0.110003,-8.18E-12,,
,0.112003,-8.72E-12,,
,0.114003,-9.69E-12,,
,0.116003,-1.13E-11,,
,0.118003,-1.31E-11,,
,0.120003,-1.46E-11,,
,0.122003,-1.53E-11,,
,0.124003,-1.59E-11,,
,0.126003,-1.66E-11,,
,0.128003,-1.73E-11,,
,0.130003,-1.81E-11,,
,0.132003,-1.92E-11,,
,0.134003,-2.05E-11,,
,0.136003,-2.20E-11,,
,0.138003,-2.28E-11,,
,0.140003,-2.35E-11,,
,0.142003,-2.34E-11,,
,0.144003,-2.33E-11,,
,0.146003,-2.35E-11,,
,0.148003,-2.44E-11,,
,0.150003,-2.57E-11,,
,0.152003,-2.66E-11,,
,0.154003,-2.72E-11,,
,0.156003,-2.74E-11,,
,0.158003,-2.72E-11,,
,0.160003,-2.71E-11,,
,0.162003,-2.69E-11,,
,0.164003,-2.73E-11,,
,0.166003,-2.80E-11,,
,0.168003,-2.91E-11,,
,0.170003,-2.95E-11,,
,0.172003,-2.94E-11,,
,0.174003,-2.90E-11,,
,0.176003,-2.86E-11,,
,0.178003,-2.83E-11,,
,0.180003,-2.80E-11,,
,0.182003,-2.84E-11,,
,0.184003,-2.89E-11,,
,0.186003,-2.92E-11,,
,0.188003,-2.90E-11,,
,0.190003,-2.84E-11,,
,0.192003,-2.78E-11,,
,0.194003,-2.71E-11,,
,0.196003,-2.68E-11,,
,0.198003,-2.63E-11,,
,0.200003,-2.64E-11,,
,0.202003,-2.65E-11,,
,0.204003,-2.63E-11,,
,0.206003,-2.58E-11,,
,0.208003,-2.47E-11,,
,0.210003,-2.36E-11,,
,0.212003,-2.27E-11,,
,0.214003,-2.22E-11,,
,0.216003,-2.21E-11,,
,0.218003,-2.20E-11,,
,0.220003,-2.15E-11,,
,0.222003,-2.06E-11,,
,0.224003,-1.97E-11,,
,0.226003,-1.85E-11,,
,0.228003,-1.73E-11,,
,0.230003,-1.62E-11,,
,0.232003,-1.58E-11,,
,0.234003,-1.56E-11,,
,0.236003,-1.53E-11,,
,0.238003,-1.44E-11,,
,0.240003,-1.34E-11,,
,0.242003,-1.20E-11,,
,0.244003,-1.09E-11,,
,0.246003,-9.79E-12,,
,0.248003,-9.37E-12,,
,0.250003,-9.15E-12,,
,0.252003,-8.83E-12,,
,0.254003,-8.29E-12,,
,0.256003,-7.22E-12,,
,0.258003,-6.14E-12,,
,0.260003,-4.86E-12,,
,0.262003,-3.78E-12,,
,0.264003,-3.14E-12,,
,0.266003,-2.82E-12,,
,0.268003,-2.60E-12,,
,0.270003,-2.07E-12,,
,0.272003,-1.10E-12,,
,0.274003,-2.40E-13,,
,0.276003,7.26E-13,,
,0.278003,1.69E-12,,
,0.280003,2.44E-12,,
,0.282003,2.98E-12,,
,0.284003,2.87E-12,,
,0.286003,3.09E-12,,
,0.288003,3.30E-12,,
,0.290003,4.16E-12,,
,0.292003,5.13E-12,,
,0.294003,6.20E-12,,
,0.296003,6.85E-12,,
,0.298003,6.95E-12,,
,0.300003,6.85E-12,,
,0.302003,6.74E-12,,
,0.304003,6.95E-12,,
,0.306003,7.38E-12,,
,0.308003,8.03E-12,,
