5/8/2019, 10:58:52 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,-0.004994,1.97E-11,,
,-0.002994,3.92E-11,,
,-0.000994,5.81E-11,,
,0.001006,5.67E-11,,
,0.003006,5.48E-11,,
,0.005006,5.28E-11,,
,0.007006,5.06E-11,,
,0.009006,4.86E-11,,
,0.011006,4.69E-11,,
,0.013006,4.51E-11,,
,0.015006,4.38E-11,,
,0.017006,4.18E-11,,
,0.019006,4.03E-11,,
,0.021006,3.81E-11,,
,0.023006,3.65E-11,,
,0.025006,3.44E-11,,
,0.027006,3.26E-11,,
,0.029006,3.08E-11,,
,0.031006,2.92E-11,,
,0.033006,2.74E-11,,
,0.035006,2.53E-11,,
,0.037006,2.29E-11,,
,0.039006,2.08E-11,,
,0.041006,1.88E-11,,
,0.043006,1.69E-11,,
,0.045006,1.51E-11,,
,0.047006,1.35E-11,,
,0.049006,1.19E-11,,
,0.051006,1.03E-11,,
,0.053006,8.35E-12,,
,0.055006,6.52E-12,,
,0.057006,4.48E-12,,
,0.059006,2.55E-12,,
,0.061006,9.41E-13,,
,0.063006,-4.55E-13,,
,0.065006,-1.85E-12,,
,0.067006,-3.46E-12,,
,0.069006,-5.07E-12,,
,0.071006,-6.68E-12,,
,0.073006,-8.29E-12,,
,0.075006,-1.01E-11,,
,0.077006,-1.14E-11,,
,0.079006,-1.28E-11,,
,0.081006,-1.40E-11,,
,0.083006,-1.54E-11,,
,0.085006,-1.69E-11,,
,0.087006,-1.82E-11,,
,0.089006,-1.97E-11,,
,0.091006,-2.10E-11,,
,0.093006,-2.22E-11,,
,0.095006,-2.34E-11,,
,0.097006,-2.44E-11,,
,0.099006,-2.54E-11,,
,0.101006,-2.65E-11,,
,0.103006,-2.79E-11,,
,0.105006,-2.95E-11,,
,0.107006,-3.11E-11,,
,0.109006,-3.23E-11,,
,0.111006,-3.35E-11,,
,0.113006,-3.46E-11,,
,0.115006,-3.57E-11,,
,0.117006,-3.65E-11,,
,0.119006,-3.74E-11,,
,0.121006,-3.88E-11,,
,0.123006,-4.03E-11,,
,0.125006,-4.18E-11,,
,0.127006,-4.28E-11,,
,0.129006,-4.38E-11,,
,0.131006,-4.48E-11,,
,0.133006,-4.59E-11,,
,0.135006,-4.69E-11,,
,0.137006,-4.82E-11,,
,0.139006,-4.96E-11,,
,0.141006,-5.11E-11,,
,0.143006,-5.23E-11,,
,0.145006,-5.34E-11,,
,0.147006,-5.39E-11,,
,0.149006,-5.46E-11,,
,0.151006,-5.51E-11,,
,0.153006,-5.63E-11,,
,0.155006,-5.75E-11,,
,0.157006,-5.89E-11,,
,0.159006,-5.99E-11,,
,0.161006,-6.11E-11,,
,0.163006,-6.20E-11,,
,0.165006,-6.28E-11,,
,0.167006,-6.37E-11,,
,0.169006,-6.50E-11,,
,0.171006,-6.64E-11,,
,0.173006,-6.77E-11,,
,0.175006,-6.86E-11,,
,0.177006,-6.95E-11,,
,0.179006,-7.02E-11,,
,0.181006,-7.11E-11,,
,0.183006,-7.18E-11,,
,0.185006,-7.27E-11,,
,0.187006,-7.39E-11,,
,0.189006,-7.52E-11,,
,0.191006,-7.64E-11,,
,0.193006,-7.73E-11,,
,0.195006,-7.82E-11,,
,0.197006,-7.90E-11,,
,0.199006,-7.95E-11,,
,0.201006,-8.02E-11,,
,0.203006,-8.09E-11,,
,0.205006,-8.20E-11,,
,0.207006,-8.31E-11,,
,0.209006,-8.42E-11,,
,0.211006,-8.49E-11,,
,0.213006,-8.53E-11,,
,0.215006,-8.58E-11,,
,0.217006,-8.61E-11,,
,0.219006,-8.69E-11,,
,0.221006,-8.76E-11,,
,0.223006,-8.85E-11,,
,0.225006,-8.90E-11,,
,0.227006,-8.93E-11,,
,0.229006,-8.99E-11,,
,0.231006,-9.00E-11,,
,0.233006,-9.02E-11,,
,0.235006,-9.05E-11,,
,0.237006,-9.13E-11,,
,0.239006,-9.21E-11,,
,0.241006,-9.26E-11,,
,0.243006,-9.29E-11,,
,0.245006,-9.28E-11,,
,0.247006,-9.29E-11,,
,0.249006,-9.31E-11,,
,0.251006,-9.34E-11,,
,0.253006,-9.37E-11,,
,0.255006,-9.42E-11,,
,0.257006,-9.45E-11,,
,0.259006,-9.47E-11,,
,0.261006,-9.46E-11,,
,0.263006,-9.46E-11,,
,0.265006,-9.45E-11,,
,0.267006,-9.46E-11,,
,0.269006,-9.48E-11,,
,0.271006,-9.53E-11,,
,0.273006,-9.58E-11,,
,0.275006,-9.62E-11,,
,0.277006,-9.64E-11,,
,0.279006,-9.63E-11,,
,0.281006,-9.61E-11,,
,0.283006,-9.60E-11,,
,0.285006,-9.60E-11,,
,0.287006,-9.63E-11,,
,0.289006,-9.69E-11,,
,0.291006,-9.75E-11,,
,0.293006,-9.76E-11,,
,0.295006,-9.77E-11,,
,0.297006,-9.74E-11,,
,0.299006,-9.74E-11,,
,0.301006,-9.72E-11,,
