5/8/2019, 11:18:11 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.418,-6.41E-11,,
,0.42,-6.34E-11,,
,0.422,-6.23E-11,,
,0.424,-6.14E-11,,
,0.426,-6.08E-11,,
,0.428,-6.08E-11,,
,0.43,-6.09E-11,,
,0.432,-6.08E-11,,
,0.434,-6.06E-11,,
,0.436,-6.01E-11,,
,0.438,-5.97E-11,,
,0.44,-5.92E-11,,
,0.442,-5.87E-11,,
,0.444,-5.89E-11,,
,0.446,-5.94E-11,,
,0.448,-6.05E-11,,
,0.45,-6.15E-11,,
,0.452,-6.27E-11,,
,0.454,-6.37E-11,,
,0.456,-6.49E-11,,
,0.458,-6.60E-11,,
,0.46,-6.77E-11,,
,0.462,-6.97E-11,,
,0.464,-7.20E-11,,
,0.466,-7.45E-11,,
,0.468,-7.72E-11,,
,0.47,-7.99E-11,,
,0.472,-8.22E-11,,
,0.474,-8.41E-11,,
,0.476,-8.64E-11,,
,0.478,-8.93E-11,,
,0.48,-9.29E-11,,
,0.482,-9.64E-11,,
,0.484,-1.00E-10,,
,0.486,-1.04E-10,,
,0.488,-1.07E-10,,
,0.49,-1.10E-10,,
,0.492,-1.13E-10,,
,0.494,-1.17E-10,,
,0.496,-1.20E-10,,
,0.498,-1.24E-10,,
,0.5,-1.28E-10,,
,0.502,-1.32E-10,,
,0.504,-1.35E-10,,
,0.506,-1.37E-10,,
,0.508,-1.40E-10,,
,0.51,-1.42E-10,,
,0.512,-1.46E-10,,
,0.514,-1.49E-10,,
,0.516,-1.52E-10,,
,0.518,-1.55E-10,,
,0.52,-1.57E-10,,
,0.522,-1.59E-10,,
,0.524,-1.60E-10,,
,0.526,-1.61E-10,,
,0.528,-1.63E-10,,
,0.53,-1.65E-10,,
,0.532,-1.66E-10,,
,0.534,-1.67E-10,,
,0.536,-1.68E-10,,
,0.538,-1.67E-10,,
,0.54,-1.66E-10,,
,0.542,-1.64E-10,,
,0.544,-1.63E-10,,
,0.546,-1.62E-10,,
,0.548,-1.62E-10,,
,0.55,-1.61E-10,,
,0.552,-1.60E-10,,
,0.554,-1.58E-10,,
,0.556,-1.56E-10,,
,0.558,-1.54E-10,,
,0.56,-1.52E-10,,
,0.562,-1.50E-10,,
,0.564,-1.48E-10,,
,0.566,-1.46E-10,,
,0.568,-1.44E-10,,
,0.57,-1.41E-10,,
,0.572,-1.38E-10,,
,0.574,-1.35E-10,,
,0.576,-1.32E-10,,
,0.578,-1.30E-10,,
,0.58,-1.28E-10,,
,0.582,-1.26E-10,,
,0.584,-1.24E-10,,
,0.586,-1.22E-10,,
,0.588,-1.19E-10,,
,0.59,-1.16E-10,,
,0.592,-1.14E-10,,
,0.594,-1.11E-10,,
,0.596,-1.10E-10,,
,0.598,-1.08E-10,,
,0.6,-1.07E-10,,
,0.602,-1.06E-10,,
,0.604,-1.04E-10,,
,0.606,-1.03E-10,,
,0.608,-1.01E-10,,
,0.61,-9.99E-11,,
,0.612,-9.95E-11,,
,0.614,-9.95E-11,,
,0.616,-1.00E-10,,
,0.618,-1.00E-10,,
,0.62,-1.01E-10,,
,0.622,-1.01E-10,,
,0.624,-1.01E-10,,
,0.626,-1.02E-10,,
,0.628,-1.04E-10,,
,0.63,-1.06E-10,,
,0.632,-1.08E-10,,
,0.634,-1.11E-10,,
,0.636,-1.13E-10,,
,0.638,-1.15E-10,,
,0.64,-1.17E-10,,
,0.642,-1.19E-10,,
,0.644,-1.22E-10,,
,0.646,-1.25E-10,,
,0.648,-1.28E-10,,
,0.65,-1.32E-10,,
,0.652,-1.35E-10,,
,0.654,-1.38E-10,,
,0.656,-1.41E-10,,
,0.658,-1.43E-10,,
,0.66,-1.47E-10,,
,0.662,-1.50E-10,,
,0.664,-1.54E-10,,
,0.666,-1.57E-10,,
,0.668,-1.61E-10,,
,0.67,-1.64E-10,,
,0.672,-1.67E-10,,
,0.674,-1.69E-10,,
,0.676,-1.72E-10,,
,0.678,-1.75E-10,,
,0.68,-1.78E-10,,
,0.682,-1.82E-10,,
,0.684,-1.85E-10,,
,0.686,-1.88E-10,,
,0.688,-1.91E-10,,
,0.69,-1.93E-10,,
,0.692,-1.95E-10,,
,0.694,-1.98E-10,,
,0.696,-2.01E-10,,
,0.698,-2.04E-10,,
,0.7,-2.07E-10,,
,0.702,-2.10E-10,,
,0.704,-2.12E-10,,
,0.706,-2.13E-10,,
,0.708,-2.15E-10,,
,0.71,-2.16E-10,,
,0.712,-2.18E-10,,
,0.714,-2.21E-10,,
,0.716,-2.23E-10,,
,0.718,-2.25E-10,,
,0.72,-2.26E-10,,
,0.722,-2.27E-10,,
,0.724,-2.28E-10,,
,0.726,-2.29E-10,,
,0.728,-2.30E-10,,
,0.73,-2.31E-10,,
,0.732,-2.33E-10,,
,0.734,-2.34E-10,,
,0.736,-2.35E-10,,
,0.738,-2.35E-10,,
,0.74,-2.35E-10,,
,0.742,-2.35E-10,,
,0.744,-2.34E-10,,
,0.746,-2.35E-10,,
,0.748,-2.35E-10,,
,0.75,-2.35E-10,,
,0.752,-2.34E-10,,
,0.754,-2.33E-10,,
,0.756,-2.32E-10,,
,0.758,-2.30E-10,,
,0.76,-2.28E-10,,
,0.762,-2.27E-10,,
,0.764,-2.25E-10,,
,0.766,-2.24E-10,,
,0.768,-2.22E-10,,
,0.77,-2.19E-10,,
,0.772,-2.16E-10,,
,0.774,-2.12E-10,,
,0.776,-2.09E-10,,
,0.778,-2.05E-10,,
,0.78,-2.02E-10,,
,0.782,-1.99E-10,,
,0.784,-1.96E-10,,
,0.786,-1.92E-10,,
,0.788,-1.88E-10,,
,0.79,-1.83E-10,,
,0.792,-1.79E-10,,
,0.794,-1.75E-10,,
,0.796,-1.71E-10,,
,0.798,-1.67E-10,,
,0.8,-1.63E-10,,
,0.802,-1.58E-10,,
,0.804,-1.54E-10,,
,0.806,-1.48E-10,,
,0.808,-1.43E-10,,
,0.81,-1.38E-10,,
,0.812,-1.33E-10,,
,0.814,-1.29E-10,,
,0.816,-1.26E-10,,
,0.818,-1.22E-10,,
,0.82,-1.17E-10,,
,0.822,-1.13E-10,,
,0.824,-1.08E-10,,
,0.826,-1.04E-10,,
,0.828,-1.01E-10,,
,0.83,-9.80E-11,,
,0.832,-9.51E-11,,
,0.834,-9.26E-11,,
,0.836,-8.98E-11,,
,0.838,-8.72E-11,,
,0.84,-8.46E-11,,
,0.842,-8.24E-11,,
,0.844,-8.10E-11,,
,0.846,-8.02E-11,,
,0.848,-8.01E-11,,
,0.85,-8.01E-11,,
,0.852,-8.00E-11,,
,0.854,-8.00E-11,,
,0.856,-7.99E-11,,
,0.858,-8.00E-11,,
,0.86,-8.08E-11,,
,0.862,-8.23E-11,,
,0.864,-8.48E-11,,
,0.866,-8.74E-11,,
,0.868,-9.01E-11,,
,0.87,-9.27E-11,,
,0.872,-9.54E-11,,
,0.874,-9.83E-11,,
,0.876,-1.01E-10,,
,0.878,-1.06E-10,,
,0.88,-1.11E-10,,
,0.882,-1.16E-10,,
,0.884,-1.22E-10,,
,0.886,-1.28E-10,,
,0.888,-1.33E-10,,
,0.89,-1.39E-10,,
,0.892,-1.45E-10,,
,0.894,-1.53E-10,,
,0.896,-1.61E-10,,
,0.898,-1.69E-10,,
,0.9,-1.78E-10,,
,0.902,-1.86E-10,,
,0.904,-1.95E-10,,
,0.906,-2.03E-10,,
,0.908,-2.12E-10,,
,0.91,-2.22E-10,,
,0.912,-2.32E-10,,
,0.914,-2.43E-10,,
,0.916,-2.54E-10,,
,0.918,-2.65E-10,,
,0.92,-2.76E-10,,
,0.922,-2.87E-10,,
,0.924,-2.98E-10,,
,0.926,-3.09E-10,,
,0.928,-3.21E-10,,
,0.93,-3.33E-10,,
,0.932,-3.46E-10,,
,0.934,-3.58E-10,,
,0.936,-3.70E-10,,
,0.938,-3.82E-10,,
,0.94,-3.94E-10,,
,0.942,-4.06E-10,,
,0.944,-4.18E-10,,
,0.946,-4.31E-10,,
,0.948,-4.44E-10,,
,0.95,-4.57E-10,,
,0.952,-4.70E-10,,
