5/8/2019, 11:09:00 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,-0.001995,-1.33E-12,,
,4.88E-06,-2.56E-12,,
,0.002005,-3.78E-12,,
,0.004005,-3.78E-12,,
,0.006005,-4.10E-12,,
,0.008005,-4.43E-12,,
,0.010005,-4.64E-12,,
,0.012005,-4.21E-12,,
,0.014005,-3.57E-12,,
,0.016005,-2.92E-12,,
,0.018005,-2.39E-12,,
,0.020005,-2.28E-12,,
,0.022005,-2.28E-12,,
,0.024005,-2.71E-12,,
,0.026005,-2.92E-12,,
,0.028005,-2.92E-12,,
,0.030005,-2.49E-12,,
,0.032005,-1.96E-12,,
,0.034005,-1.53E-12,,
,0.036005,-1.64E-12,,
,0.038005,-1.96E-12,,
,0.040005,-2.28E-12,,
,0.042005,-2.28E-12,,
,0.044005,-2.07E-12,,
,0.046005,-1.74E-12,,
,0.048005,-1.53E-12,,
,0.050005,-1.10E-12,,
,0.052005,-9.92E-13,,
,0.054005,-1.10E-12,,
,0.056005,-1.42E-12,,
,0.058005,-1.64E-12,,
,0.060005,-1.74E-12,,
,0.062005,-1.64E-12,,
,0.064005,-1.42E-12,,
,0.066005,-9.92E-13,,
,0.068005,-9.92E-13,,
,0.070005,-9.92E-13,,
,0.072005,-1.42E-12,,
,0.074005,-1.74E-12,,
,0.076005,-1.96E-12,,
,0.078005,-1.85E-12,,
,0.080005,-1.74E-12,,
,0.082005,-1.53E-12,,
,0.084005,-1.10E-12,,
,0.086005,-8.84E-13,,
,0.088005,-1.10E-12,,
,0.090005,-1.74E-12,,
,0.092005,-2.07E-12,,
,0.094005,-1.96E-12,,
,0.096005,-1.64E-12,,
,0.098005,-1.21E-12,,
,0.100005,-9.92E-13,,
,0.102005,-7.77E-13,,
,0.104005,-1.10E-12,,
,0.106005,-1.31E-12,,
,0.108005,-1.74E-12,,
,0.110005,-1.42E-12,,
,0.112005,-1.31E-12,,
,0.114005,-7.77E-13,,
,0.116005,-3.47E-13,,
,0.118005,2.97E-13,,
,0.120005,4.04E-13,,
,0.122005,8.20E-14,,
,0.124005,-5.62E-13,,
,0.126005,-5.62E-13,,
,0.128005,-1.33E-13,,
,0.130005,8.34E-13,,
,0.132005,1.69E-12,,
,0.134005,2.23E-12,,
,0.136005,2.55E-12,,
,0.138005,2.66E-12,,
,0.140005,2.55E-12,,
,0.142005,2.44E-12,,
,0.144005,2.77E-12,,
,0.146005,3.41E-12,,
,0.148005,4.38E-12,,
,0.150005,5.24E-12,,
,0.152005,5.99E-12,,
,0.154005,6.31E-12,,
,0.156005,6.52E-12,,
,0.158005,6.85E-12,,
,0.160005,7.27E-12,,
,0.162005,7.81E-12,,
,0.164005,8.46E-12,,
,0.166005,9.42E-12,,
,0.168005,1.01E-11,,
,0.170005,1.07E-11,,
,0.172005,1.08E-11,,
,0.174005,1.11E-11,,
,0.176005,1.16E-11,,
,0.178005,1.24E-11,,
,0.180005,1.36E-11,,
,0.182005,1.48E-11,,
,0.184005,1.61E-11,,
,0.186005,1.69E-11,,
,0.188005,1.75E-11,,
,0.190005,1.78E-11,,
,0.192005,1.84E-11,,
,0.194005,1.96E-11,,
,0.196005,2.11E-11,,
,0.198005,2.28E-11,,
,0.200005,2.46E-11,,
,0.202005,2.58E-11,,
,0.204005,2.67E-11,,
,0.206005,2.72E-11,,
,0.208005,2.82E-11,,
,0.210005,2.94E-11,,
,0.212005,3.10E-11,,
,0.214005,3.28E-11,,
,0.216005,3.47E-11,,
,0.218005,3.63E-11,,
,0.220005,3.77E-11,,
,0.222005,3.88E-11,,
,0.224005,4.03E-11,,
,0.226005,4.18E-11,,
,0.228005,4.36E-11,,
,0.230005,4.55E-11,,
,0.232005,4.75E-11,,
,0.234005,4.97E-11,,
,0.236005,5.12E-11,,
,0.238005,5.23E-11,,
,0.240005,5.35E-11,,
,0.242005,5.46E-11,,
,0.244005,5.63E-11,,
,0.246005,5.79E-11,,
,0.248005,6.02E-11,,
,0.250005,6.21E-11,,
,0.252005,6.39E-11,,
,0.254005,6.54E-11,,
,0.256005,6.65E-11,,
,0.258005,6.75E-11,,
,0.260005,6.87E-11,,
,0.262005,7.03E-11,,
,0.264005,7.22E-11,,
,0.266005,7.39E-11,,
,0.268005,7.54E-11,,
,0.270005,7.68E-11,,
,0.272005,7.76E-11,,
,0.274005,7.82E-11,,
,0.276005,7.91E-11,,
,0.278005,8.04E-11,,
,0.280005,8.21E-11,,
,0.282005,8.36E-11,,
,0.284005,8.53E-11,,
,0.286005,8.65E-11,,
,0.288005,8.76E-11,,
,0.290005,8.83E-11,,
,0.292005,8.92E-11,,
,0.294005,9.03E-11,,
,0.296005,9.18E-11,,
,0.298005,9.32E-11,,
,0.300005,9.46E-11,,
,0.302005,9.55E-11,,
,0.304005,9.68E-11,,
,0.306005,9.78E-11,,
,0.308005,9.90E-11,,
,0.310005,9.99E-11,,
,0.312005,1.02E-10,,
