5/5/2019, 7:07:00 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-2.61E-10,,
,0.004,-5.19E-10,,
,0.006,-7.74E-10,,
,0.008,-7.67E-10,,
,0.01,-7.60E-10,,
,0.012,-7.54E-10,,
,0.014,-7.49E-10,,
,0.016,-7.43E-10,,
,0.018,-7.37E-10,,
,0.02,-7.30E-10,,
,0.022,-7.23E-10,,
,0.024,-7.17E-10,,
,0.026,-7.11E-10,,
,0.028,-7.05E-10,,
,0.03,-7.01E-10,,
,0.032,-6.96E-10,,
,0.034,-6.91E-10,,
,0.036,-6.85E-10,,
,0.038,-6.79E-10,,
,0.04,-6.74E-10,,
,0.042,-6.68E-10,,
,0.044,-6.63E-10,,
,0.046,-6.59E-10,,
,0.048,-6.55E-10,,
,0.05,-6.52E-10,,
,0.052,-6.48E-10,,
,0.054,-6.43E-10,,
,0.056,-6.39E-10,,
,0.058,-6.34E-10,,
,0.06,-6.30E-10,,
,0.062,-6.27E-10,,
,0.064,-6.25E-10,,
,0.066,-6.22E-10,,
,0.068,-6.19E-10,,
,0.07,-6.16E-10,,
,0.072,-6.12E-10,,
,0.074,-6.09E-10,,
,0.076,-6.06E-10,,
,0.078,-6.04E-10,,
,0.08,-6.03E-10,,
,0.082,-6.02E-10,,
,0.084,-6.00E-10,,
,0.086,-5.99E-10,,
,0.088,-5.96E-10,,
,0.09,-5.93E-10,,
,0.092,-5.91E-10,,
,0.094,-5.90E-10,,
,0.096,-5.89E-10,,
,0.098,-5.88E-10,,
,0.1,-5.87E-10,,
,0.102,-5.86E-10,,
,0.104,-5.84E-10,,
,0.106,-5.82E-10,,
,0.108,-5.80E-10,,
,0.11,-5.79E-10,,
,0.112,-5.79E-10,,
,0.114,-5.78E-10,,
,0.116,-5.78E-10,,
,0.118,-5.77E-10,,
,0.12,-5.75E-10,,
,0.122,-5.73E-10,,
,0.124,-5.71E-10,,
,0.126,-5.70E-10,,
,0.128,-5.70E-10,,
,0.13,-5.70E-10,,
,0.132,-5.71E-10,,
,0.134,-5.70E-10,,
,0.136,-5.69E-10,,
,0.138,-5.68E-10,,
,0.14,-5.67E-10,,
,0.142,-5.66E-10,,
,0.144,-5.66E-10,,
,0.146,-5.67E-10,,
,0.148,-5.68E-10,,
,0.15,-5.68E-10,,
,0.152,-5.68E-10,,
,0.154,-5.68E-10,,
,0.156,-5.67E-10,,
,0.158,-5.66E-10,,
,0.16,-5.66E-10,,
,0.162,-5.67E-10,,
,0.164,-5.68E-10,,
,0.166,-5.70E-10,,
,0.168,-5.70E-10,,
,0.17,-5.70E-10,,
,0.172,-5.70E-10,,
,0.174,-5.70E-10,,
,0.176,-5.70E-10,,
,0.178,-5.71E-10,,
,0.18,-5.72E-10,,
,0.182,-5.74E-10,,
,0.184,-5.74E-10,,
,0.186,-5.75E-10,,
,0.188,-5.75E-10,,
,0.19,-5.74E-10,,
,0.192,-5.74E-10,,
,0.194,-5.75E-10,,
,0.196,-5.76E-10,,
,0.198,-5.78E-10,,
,0.2,-5.79E-10,,
,0.202,-5.80E-10,,
,0.204,-5.80E-10,,
,0.206,-5.80E-10,,
,0.208,-5.80E-10,,
,0.21,-5.80E-10,,
,0.212,-5.81E-10,,
,0.214,-5.83E-10,,
,0.216,-5.84E-10,,
,0.218,-5.85E-10,,
,0.22,-5.85E-10,,
,0.222,-5.85E-10,,
,0.224,-5.85E-10,,
,0.226,-5.86E-10,,
,0.228,-5.88E-10,,
,0.23,-5.90E-10,,
,0.232,-5.92E-10,,
,0.234,-5.94E-10,,
,0.236,-5.96E-10,,
,0.238,-5.96E-10,,
,0.24,-5.97E-10,,
,0.242,-5.98E-10,,
,0.244,-5.99E-10,,
,0.246,-6.01E-10,,
,0.248,-6.02E-10,,
,0.25,-6.04E-10,,
,0.252,-6.05E-10,,
,0.254,-6.06E-10,,
,0.256,-6.06E-10,,
,0.258,-6.06E-10,,
,0.26,-6.06E-10,,
,0.262,-6.07E-10,,
,0.264,-6.09E-10,,
,0.266,-6.10E-10,,
,0.268,-6.10E-10,,
,0.27,-6.10E-10,,
,0.272,-6.09E-10,,
,0.274,-6.09E-10,,
,0.276,-6.08E-10,,
,0.278,-6.08E-10,,
,0.28,-6.09E-10,,
,0.282,-6.09E-10,,
,0.284,-6.09E-10,,
,0.286,-6.09E-10,,
,0.288,-6.08E-10,,
,0.29,-6.07E-10,,
,0.292,-6.06E-10,,
,0.294,-6.05E-10,,
,0.296,-6.05E-10,,
,0.298,-6.05E-10,,
,0.3,-6.05E-10,,
,0.302,-6.05E-10,,
,0.304,-6.04E-10,,
,0.306,-6.02E-10,,
,0.308,-6.00E-10,,
,0.31,-6.00E-10,,
,0.312,-6.00E-10,,
,0.314,-5.99E-10,,
,0.316,-5.99E-10,,
,0.318,-5.98E-10,,
,0.32,-5.96E-10,,
,0.322,-5.95E-10,,
,0.324,-5.93E-10,,
