5/15/2019, 11:08:14 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.405001,-1.14E-11,,
,0.407001,-1.17E-11,,
,0.409001,-1.17E-11,,
,0.411001,-1.17E-11,,
,0.413001,-1.14E-11,,
,0.415001,-1.14E-11,,
,0.417001,-1.16E-11,,
,0.419001,-1.23E-11,,
,0.421001,-1.29E-11,,
,0.423001,-1.34E-11,,
,0.425001,-1.37E-11,,
,0.427001,-1.38E-11,,
,0.429001,-1.36E-11,,
,0.431001,-1.36E-11,,
,0.433001,-1.34E-11,,
,0.435001,-1.39E-11,,
,0.437001,-1.42E-11,,
,0.439001,-1.45E-11,,
,0.441001,-1.45E-11,,
,0.443001,-1.43E-11,,
,0.445001,-1.40E-11,,
,0.447001,-1.31E-11,,
,0.449001,-1.25E-11,,
,0.451001,-1.26E-11,,
,0.453001,-1.32E-11,,
,0.455001,-1.37E-11,,
,0.457001,-1.39E-11,,
,0.459001,-1.37E-11,,
,0.461001,-1.37E-11,,
,0.463001,-1.32E-11,,
,0.465001,-1.30E-11,,
,0.467001,-1.31E-11,,
,0.469001,-1.36E-11,,
,0.471001,-1.40E-11,,
,0.473001,-1.42E-11,,
,0.475001,-1.39E-11,,
,0.477001,-1.36E-11,,
,0.479001,-1.29E-11,,
,0.481001,-1.25E-11,,
,0.483001,-1.24E-11,,
,0.485001,-1.26E-11,,
,0.487001,-1.30E-11,,
,0.489001,-1.31E-11,,
,0.491001,-1.30E-11,,
,0.493001,-1.26E-11,,
,0.495001,-1.20E-11,,
,0.497001,-1.16E-11,,
,0.499001,-1.13E-11,,
,0.501001,-1.11E-11,,
,0.503001,-1.12E-11,,
,0.505001,-1.11E-11,,
,0.507001,-1.07E-11,,
,0.509001,-9.79E-12,,
,0.511001,-8.94E-12,,
,0.513001,-7.97E-12,,
,0.515001,-6.79E-12,,
,0.517001,-6.14E-12,,
,0.519001,-6.14E-12,,
,0.521001,-6.25E-12,,
,0.523001,-6.14E-12,,
,0.525001,-5.50E-12,,
,0.527001,-4.75E-12,,
,0.529001,-3.35E-12,,
,0.531001,-2.17E-12,,
,0.533001,-8.84E-13,,
,0.535001,-2.40E-13,,
,0.537001,2.97E-13,,
,0.539001,8.34E-13,,
,0.541001,1.69E-12,,
,0.543001,2.55E-12,,
,0.545001,3.52E-12,,
,0.547001,4.38E-12,,
,0.549001,5.45E-12,,
,0.551001,5.66E-12,,
,0.553001,5.77E-12,,
,0.555001,5.56E-12,,
,0.557001,5.77E-12,,
,0.559001,6.31E-12,,
,0.561001,7.17E-12,,
,0.563001,8.35E-12,,
,0.565001,9.10E-12,,
,0.567001,9.53E-12,,
,0.569001,9.31E-12,,
,0.571001,9.10E-12,,
,0.573001,8.99E-12,,
,0.575001,9.21E-12,,
,0.577001,9.53E-12,,
,0.579001,9.64E-12,,
,0.581001,9.74E-12,,
,0.583001,9.53E-12,,
,0.585001,9.10E-12,,
,0.587001,8.35E-12,,
,0.589001,7.81E-12,,
,0.591001,7.38E-12,,
,0.593001,7.27E-12,,
,0.595001,7.17E-12,,
,0.597001,7.27E-12,,
,0.599001,7.06E-12,,
,0.601001,6.31E-12,,
,0.603001,5.24E-12,,
,0.605001,4.16E-12,,
,0.607001,3.41E-12,,
,0.609001,2.77E-12,,
,0.611001,2.55E-12,,
,0.613001,2.55E-12,,
,0.615001,2.66E-12,,
,0.617001,2.34E-12,,
,0.619001,1.48E-12,,
,0.621001,5.11E-13,,
,0.623001,-3.47E-13,,
,0.625001,-6.69E-13,,
,0.627001,-5.62E-13,,
,0.629001,-2.40E-13,,
,0.631001,-2.53E-14,,
,0.633001,-5.62E-13,,
,0.635001,-1.42E-12,,
,0.637001,-2.39E-12,,
,0.639001,-2.92E-12,,
,0.641001,-2.92E-12,,
,0.643001,-2.71E-12,,
,0.645001,-2.07E-12,,
,0.647001,-1.53E-12,,
,0.649001,-8.84E-13,,
,0.651001,-8.84E-13,,
,0.653001,-1.21E-12,,
,0.655001,-1.74E-12,,
,0.657001,-1.96E-12,,
,0.659001,-1.96E-12,,
,0.661001,-1.74E-12,,
,0.663001,-1.53E-12,,
,0.665001,-1.10E-12,,
,0.667001,-8.84E-13,,
,0.669001,-6.69E-13,,
,0.671001,-6.69E-13,,
,0.673001,-4.55E-13,,
,0.675001,1.89E-13,,
,0.677001,9.41E-13,,
,0.679001,2.01E-12,,
,0.681001,2.98E-12,,
,0.683001,3.73E-12,,
,0.685001,4.27E-12,,
,0.687001,4.59E-12,,
,0.689001,5.13E-12,,
,0.691001,5.77E-12,,
,0.693001,6.63E-12,,
,0.695001,8.03E-12,,
,0.697001,9.64E-12,,
,0.699001,1.12E-11,,
,0.701001,1.20E-11,,
,0.703001,1.26E-11,,
,0.705001,1.33E-11,,
,0.707001,1.48E-11,,
,0.709001,1.64E-11,,
,0.711001,1.85E-11,,
,0.713001,2.03E-11,,
,0.715001,2.23E-11,,
,0.717001,2.37E-11,,
,0.719001,2.50E-11,,
,0.721001,2.57E-11,,
,0.723001,2.66E-11,,
,0.725001,2.76E-11,,
,0.727001,2.89E-11,,
