5/3/2019, 1:41:42 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.05E-11,,
,0.004,-2.07E-11,,
,0.006,-3.11E-11,,
,0.008,-3.09E-11,,
,0.01,-3.09E-11,,
,0.012,-3.09E-11,,
,0.014,-3.14E-11,,
,0.016,-3.22E-11,,
,0.018,-3.31E-11,,
,0.02,-3.35E-11,,
,0.022,-3.37E-11,,
,0.024,-3.38E-11,,
,0.026,-3.39E-11,,
,0.028,-3.42E-11,,
,0.03,-3.46E-11,,
,0.032,-3.53E-11,,
,0.034,-3.62E-11,,
,0.036,-3.70E-11,,
,0.038,-3.74E-11,,
,0.04,-3.75E-11,,
,0.042,-3.74E-11,,
,0.044,-3.75E-11,,
,0.046,-3.81E-11,,
,0.048,-3.92E-11,,
,0.05,-4.03E-11,,
,0.052,-4.10E-11,,
,0.054,-4.17E-11,,
,0.056,-4.20E-11,,
,0.058,-4.22E-11,,
,0.06,-4.23E-11,,
,0.062,-4.26E-11,,
,0.064,-4.33E-11,,
,0.066,-4.40E-11,,
,0.068,-4.50E-11,,
,0.07,-4.57E-11,,
,0.072,-4.62E-11,,
,0.074,-4.65E-11,,
,0.076,-4.69E-11,,
,0.078,-4.73E-11,,
,0.08,-4.76E-11,,
,0.082,-4.84E-11,,
,0.084,-4.95E-11,,
,0.086,-5.07E-11,,
,0.088,-5.12E-11,,
,0.09,-5.14E-11,,
,0.092,-5.17E-11,,
,0.094,-5.18E-11,,
,0.096,-5.25E-11,,
,0.098,-5.33E-11,,
,0.1,-5.47E-11,,
,0.102,-5.55E-11,,
,0.104,-5.63E-11,,
,0.106,-5.65E-11,,
,0.108,-5.69E-11,,
,0.11,-5.71E-11,,
,0.112,-5.77E-11,,
,0.114,-5.83E-11,,
,0.116,-5.94E-11,,
,0.118,-6.03E-11,,
,0.12,-6.09E-11,,
,0.122,-6.13E-11,,
,0.124,-6.14E-11,,
,0.126,-6.18E-11,,
,0.128,-6.21E-11,,
,0.13,-6.27E-11,,
,0.132,-6.34E-11,,
,0.134,-6.41E-11,,
,0.136,-6.49E-11,,
,0.138,-6.53E-11,,
,0.14,-6.55E-11,,
,0.142,-6.54E-11,,
,0.144,-6.54E-11,,
,0.146,-6.57E-11,,
,0.148,-6.64E-11,,
,0.15,-6.71E-11,,
,0.152,-6.77E-11,,
,0.154,-6.78E-11,,
,0.156,-6.76E-11,,
,0.158,-6.71E-11,,
,0.16,-6.68E-11,,
,0.162,-6.68E-11,,
,0.164,-6.71E-11,,
,0.166,-6.77E-11,,
,0.168,-6.81E-11,,
,0.17,-6.84E-11,,
,0.172,-6.83E-11,,
,0.174,-6.82E-11,,
,0.176,-6.79E-11,,
,0.178,-6.78E-11,,
,0.18,-6.78E-11,,
,0.182,-6.81E-11,,
,0.184,-6.84E-11,,
,0.186,-6.85E-11,,
,0.188,-6.83E-11,,
,0.19,-6.82E-11,,
,0.192,-6.76E-11,,
,0.194,-6.71E-11,,
,0.196,-6.65E-11,,
,0.198,-6.67E-11,,
,0.2,-6.67E-11,,
,0.202,-6.68E-11,,
,0.204,-6.65E-11,,
,0.206,-6.60E-11,,
,0.208,-6.56E-11,,
,0.21,-6.51E-11,,
,0.212,-6.48E-11,,
,0.214,-6.48E-11,,
,0.216,-6.48E-11,,
,0.218,-6.49E-11,,
,0.22,-6.43E-11,,
,0.222,-6.39E-11,,
,0.224,-6.33E-11,,
,0.226,-6.29E-11,,
,0.228,-6.25E-11,,
,0.23,-6.20E-11,,
,0.232,-6.14E-11,,
,0.234,-6.12E-11,,
,0.236,-6.10E-11,,
,0.238,-6.08E-11,,
,0.24,-6.00E-11,,
,0.242,-5.93E-11,,
,0.244,-5.83E-11,,
,0.246,-5.77E-11,,
,0.248,-5.74E-11,,
,0.25,-5.74E-11,,
,0.252,-5.72E-11,,
,0.254,-5.68E-11,,
,0.256,-5.60E-11,,
,0.258,-5.50E-11,,
,0.26,-5.39E-11,,
,0.262,-5.32E-11,,
,0.264,-5.27E-11,,
,0.266,-5.25E-11,,
,0.268,-5.23E-11,,
,0.27,-5.21E-11,,
,0.272,-5.17E-11,,
,0.274,-5.09E-11,,
,0.276,-4.97E-11,,
,0.278,-4.88E-11,,
,0.28,-4.82E-11,,
,0.282,-4.81E-11,,
,0.284,-4.79E-11,,
,0.286,-4.74E-11,,
,0.288,-4.66E-11,,
,0.29,-4.55E-11,,
,0.292,-4.45E-11,,
,0.294,-4.35E-11,,
,0.296,-4.31E-11,,
,0.298,-4.28E-11,,
,0.3,-4.24E-11,,
,0.302,-4.17E-11,,
,0.304,-4.10E-11,,
,0.306,-4.01E-11,,
,0.308,-3.94E-11,,
,0.31,-3.86E-11,,
,0.312,-3.79E-11,,
,0.314,-3.72E-11,,
,0.316,-3.68E-11,,
,0.318,-3.65E-11,,
,0.32,-3.62E-11,,
,0.322,-3.52E-11,,
,0.324,-3.43E-11,,
