5/3/2019, 2:54:22 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,6.08E-12,,
,0.004,1.31E-11,,
,0.006,2.14E-11,,
,0.008,2.49E-11,,
,0.01,2.84E-11,,
,0.012,3.21E-11,,
,0.014,3.55E-11,,
,0.016,3.85E-11,,
,0.018,4.10E-11,,
,0.02,4.35E-11,,
,0.022,4.62E-11,,
,0.024,4.90E-11,,
,0.026,5.23E-11,,
,0.028,5.58E-11,,
,0.03,5.96E-11,,
,0.032,6.26E-11,,
,0.034,6.54E-11,,
,0.036,6.76E-11,,
,0.038,7.02E-11,,
,0.04,7.22E-11,,
,0.042,7.50E-11,,
,0.044,7.78E-11,,
,0.046,8.08E-11,,
,0.048,8.32E-11,,
,0.05,8.48E-11,,
,0.052,8.62E-11,,
,0.054,8.73E-11,,
,0.056,8.87E-11,,
,0.058,9.03E-11,,
,0.06,9.21E-11,,
,0.062,9.41E-11,,
,0.064,9.55E-11,,
,0.066,9.65E-11,,
,0.068,9.66E-11,,
,0.07,9.68E-11,,
,0.072,9.69E-11,,
,0.074,9.72E-11,,
,0.076,9.76E-11,,
,0.078,9.79E-11,,
,0.08,9.82E-11,,
,0.082,9.80E-11,,
,0.084,9.76E-11,,
,0.086,9.65E-11,,
,0.088,9.54E-11,,
,0.09,9.48E-11,,
,0.092,9.43E-11,,
,0.094,9.41E-11,,
,0.096,9.35E-11,,
,0.098,9.26E-11,,
,0.1,9.13E-11,,
,0.102,8.97E-11,,
,0.104,8.79E-11,,
,0.106,8.60E-11,,
,0.108,8.40E-11,,
,0.11,8.24E-11,,
,0.112,8.09E-11,,
,0.114,7.95E-11,,
,0.116,7.75E-11,,
,0.118,7.51E-11,,
,0.12,7.22E-11,,
,0.122,6.96E-11,,
,0.124,6.71E-11,,
,0.126,6.51E-11,,
,0.128,6.32E-11,,
,0.13,6.10E-11,,
,0.132,5.79E-11,,
,0.134,5.46E-11,,
,0.136,5.13E-11,,
,0.138,4.79E-11,,
,0.14,4.45E-11,,
,0.142,4.13E-11,,
,0.144,3.83E-11,,
,0.146,3.53E-11,,
,0.148,3.19E-11,,
,0.15,2.80E-11,,
,0.152,2.36E-11,,
,0.154,1.93E-11,,
,0.156,1.52E-11,,
,0.158,1.15E-11,,
,0.16,8.03E-12,,
,0.162,4.48E-12,,
,0.164,5.11E-13,,
,0.166,-4.10E-12,,
,0.168,-9.04E-12,,
,0.17,-1.43E-11,,
,0.172,-1.92E-11,,
,0.174,-2.43E-11,,
,0.176,-2.86E-11,,
,0.178,-3.30E-11,,
,0.18,-3.76E-11,,
,0.182,-4.26E-11,,
,0.184,-4.82E-11,,
,0.186,-5.38E-11,,
,0.188,-5.97E-11,,
,0.19,-6.54E-11,,
,0.192,-7.07E-11,,
,0.194,-7.60E-11,,
,0.196,-8.13E-11,,
,0.198,-8.70E-11,,
,0.2,-9.32E-11,,
,0.202,-1.00E-10,,
,0.204,-1.07E-10,,
,0.206,-1.14E-10,,
,0.208,-1.20E-10,,
,0.21,-1.27E-10,,
,0.212,-1.33E-10,,
,0.214,-1.40E-10,,
,0.216,-1.47E-10,,
,0.218,-1.54E-10,,
,0.22,-1.62E-10,,
,0.222,-1.69E-10,,
,0.224,-1.76E-10,,
,0.226,-1.82E-10,,
,0.228,-1.88E-10,,
,0.23,-1.95E-10,,
,0.232,-2.01E-10,,
,0.234,-2.08E-10,,
,0.236,-2.15E-10,,
,0.238,-2.22E-10,,
,0.24,-2.29E-10,,
,0.242,-2.35E-10,,
,0.244,-2.41E-10,,
,0.246,-2.47E-10,,
,0.248,-2.52E-10,,
,0.25,-2.58E-10,,
,0.252,-2.64E-10,,
,0.254,-2.69E-10,,
,0.256,-2.75E-10,,
,0.258,-2.79E-10,,
,0.26,-2.84E-10,,
,0.262,-2.87E-10,,
,0.264,-2.91E-10,,
,0.266,-2.95E-10,,
,0.268,-3.00E-10,,
,0.27,-3.04E-10,,
,0.272,-3.09E-10,,
,0.274,-3.12E-10,,
,0.276,-3.16E-10,,
,0.278,-3.19E-10,,
,0.28,-3.21E-10,,
,0.282,-3.24E-10,,
,0.284,-3.28E-10,,
,0.286,-3.31E-10,,
,0.288,-3.34E-10,,
,0.29,-3.37E-10,,
,0.292,-3.39E-10,,
,0.294,-3.41E-10,,
,0.296,-3.43E-10,,
,0.298,-3.45E-10,,
,0.3,-3.48E-10,,
,0.302,-3.51E-10,,
,0.304,-3.53E-10,,
,0.306,-3.55E-10,,
,0.308,-3.56E-10,,
,0.31,-3.58E-10,,
,0.312,-3.59E-10,,
,0.314,-3.60E-10,,
,0.316,-3.62E-10,,
,0.318,-3.63E-10,,
,0.32,-3.65E-10,,
,0.322,-3.66E-10,,
,0.324,-3.66E-10,,
,0.326,-3.67E-10,,
,0.328,-3.66E-10,,
,0.33,-3.67E-10,,
,0.332,-3.67E-10,,
,0.334,-3.68E-10,,
,0.336,-3.68E-10,,
