5/7/2019, 10:40:59 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.57E-11,,
,0.004,-3.10E-11,,
,0.006,-4.57E-11,,
,0.008,-4.52E-11,,
,0.01,-4.57E-11,,
,0.012,-4.73E-11,,
,0.014,-4.87E-11,,
,0.016,-4.93E-11,,
,0.018,-4.93E-11,,
,0.02,-4.79E-11,,
,0.022,-4.68E-11,,
,0.024,-4.60E-11,,
,0.026,-4.67E-11,,
,0.028,-4.81E-11,,
,0.03,-4.99E-11,,
,0.032,-5.11E-11,,
,0.034,-5.16E-11,,
,0.036,-5.11E-11,,
,0.038,-5.05E-11,,
,0.04,-4.99E-11,,
,0.042,-5.02E-11,,
,0.044,-5.13E-11,,
,0.046,-5.31E-11,,
,0.048,-5.48E-11,,
,0.05,-5.55E-11,,
,0.052,-5.56E-11,,
,0.054,-5.48E-11,,
,0.056,-5.42E-11,,
,0.058,-5.46E-11,,
,0.06,-5.63E-11,,
,0.062,-5.89E-11,,
,0.064,-6.11E-11,,
,0.066,-6.26E-11,,
,0.068,-6.30E-11,,
,0.07,-6.28E-11,,
,0.072,-6.23E-11,,
,0.074,-6.23E-11,,
,0.076,-6.32E-11,,
,0.078,-6.54E-11,,
,0.08,-6.80E-11,,
,0.082,-7.01E-11,,
,0.084,-7.11E-11,,
,0.086,-7.10E-11,,
,0.088,-7.06E-11,,
,0.09,-7.05E-11,,
,0.092,-7.14E-11,,
,0.094,-7.35E-11,,
,0.096,-7.60E-11,,
,0.098,-7.83E-11,,
,0.1,-7.97E-11,,
,0.102,-7.97E-11,,
,0.104,-7.91E-11,,
,0.106,-7.84E-11,,
,0.108,-7.88E-11,,
,0.11,-8.03E-11,,
,0.112,-8.30E-11,,
,0.114,-8.54E-11,,
,0.116,-8.70E-11,,
,0.118,-8.75E-11,,
,0.12,-8.74E-11,,
,0.122,-8.72E-11,,
,0.124,-8.74E-11,,
,0.126,-8.88E-11,,
,0.128,-9.07E-11,,
,0.13,-9.32E-11,,
,0.132,-9.51E-11,,
,0.134,-9.64E-11,,
,0.136,-9.64E-11,,
,0.138,-9.59E-11,,
,0.14,-9.56E-11,,
,0.142,-9.65E-11,,
,0.144,-9.86E-11,,
,0.146,-1.01E-10,,
,0.148,-1.03E-10,,
,0.15,-1.04E-10,,
,0.152,-1.05E-10,,
,0.154,-1.04E-10,,
,0.156,-1.04E-10,,
,0.158,-1.04E-10,,
,0.16,-1.06E-10,,
,0.162,-1.08E-10,,
,0.164,-1.10E-10,,
,0.166,-1.12E-10,,
,0.168,-1.12E-10,,
,0.17,-1.12E-10,,
,0.172,-1.12E-10,,
,0.174,-1.13E-10,,
,0.176,-1.14E-10,,
,0.178,-1.16E-10,,
,0.18,-1.19E-10,,
,0.182,-1.21E-10,,
,0.184,-1.22E-10,,
,0.186,-1.22E-10,,
,0.188,-1.22E-10,,
,0.19,-1.23E-10,,
,0.192,-1.25E-10,,
,0.194,-1.28E-10,,
,0.196,-1.33E-10,,
,0.198,-1.37E-10,,
,0.2,-1.41E-10,,
,0.202,-1.44E-10,,
,0.204,-1.48E-10,,
,0.206,-1.51E-10,,
,0.208,-1.55E-10,,
,0.21,-1.60E-10,,
,0.212,-1.65E-10,,
,0.214,-1.71E-10,,
,0.216,-1.76E-10,,
,0.218,-1.80E-10,,
,0.22,-1.84E-10,,
,0.222,-1.87E-10,,
,0.224,-1.91E-10,,
,0.226,-1.96E-10,,
,0.228,-2.01E-10,,
,0.23,-2.06E-10,,
,0.232,-2.11E-10,,
,0.234,-2.14E-10,,
,0.236,-2.17E-10,,
,0.238,-2.19E-10,,
,0.24,-2.21E-10,,
,0.242,-2.24E-10,,
,0.244,-2.28E-10,,
,0.246,-2.31E-10,,
,0.248,-2.34E-10,,
,0.25,-2.37E-10,,
,0.252,-2.38E-10,,
,0.254,-2.39E-10,,
,0.256,-2.40E-10,,
,0.258,-2.41E-10,,
,0.26,-2.44E-10,,
,0.262,-2.46E-10,,
,0.264,-2.49E-10,,
,0.266,-2.50E-10,,
,0.268,-2.51E-10,,
,0.27,-2.51E-10,,
,0.272,-2.51E-10,,
,0.274,-2.50E-10,,
,0.276,-2.51E-10,,
,0.278,-2.52E-10,,
,0.28,-2.54E-10,,
,0.282,-2.55E-10,,
,0.284,-2.55E-10,,
,0.286,-2.54E-10,,
,0.288,-2.53E-10,,
,0.29,-2.51E-10,,
,0.292,-2.51E-10,,
,0.294,-2.51E-10,,
,0.296,-2.51E-10,,
,0.298,-2.51E-10,,
,0.3,-2.51E-10,,
,0.302,-2.50E-10,,
,0.304,-2.48E-10,,
,0.306,-2.47E-10,,
,0.308,-2.46E-10,,
,0.31,-2.46E-10,,
,0.312,-2.47E-10,,
,0.314,-2.47E-10,,
,0.316,-2.46E-10,,
,0.318,-2.45E-10,,
,0.32,-2.43E-10,,
,0.322,-2.41E-10,,
,0.324,-2.40E-10,,
