5/7/2019, 10:03:55 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,-0.002993,1.57E-12,,
,-0.000993,3.56E-12,,
,0.001007,5.77E-12,,
,0.003007,7.06E-12,,
,0.005007,8.78E-12,,
,0.007007,1.05E-11,,
,0.009007,1.11E-11,,
,0.011007,1.05E-11,,
,0.013007,9.42E-12,,
,0.015007,8.56E-12,,
,0.017007,8.35E-12,,
,0.019007,8.89E-12,,
,0.021007,1.03E-11,,
,0.023007,1.17E-11,,
,0.025007,1.22E-11,,
,0.027007,1.18E-11,,
,0.029007,1.06E-11,,
,0.031007,9.74E-12,,
,0.033007,9.53E-12,,
,0.035007,1.01E-11,,
,0.037007,1.09E-11,,
,0.039007,1.20E-11,,
,0.041007,1.26E-11,,
,0.043007,1.25E-11,,
,0.045007,1.14E-11,,
,0.047007,1.02E-11,,
,0.049007,9.21E-12,,
,0.051007,8.89E-12,,
,0.053007,9.21E-12,,
,0.055007,1.02E-11,,
,0.057007,1.10E-11,,
,0.059007,1.10E-11,,
,0.061007,1.03E-11,,
,0.063007,8.89E-12,,
,0.065007,7.38E-12,,
,0.067007,6.42E-12,,
,0.069007,6.31E-12,,
,0.071007,6.95E-12,,
,0.073007,7.81E-12,,
,0.075007,7.92E-12,,
,0.077007,7.27E-12,,
,0.079007,5.34E-12,,
,0.081007,3.95E-12,,
,0.083007,2.87E-12,,
,0.085007,3.09E-12,,
,0.087007,3.62E-12,,
,0.089007,4.27E-12,,
,0.091007,4.38E-12,,
,0.093007,3.41E-12,,
,0.095007,1.80E-12,,
,0.097007,-1.33E-13,,
,0.099007,-1.42E-12,,
,0.101007,-1.74E-12,,
,0.103007,-1.53E-12,,
,0.105007,-5.62E-13,,
,0.107007,-2.53E-14,,
,0.109007,1.89E-13,,
,0.111007,-8.84E-13,,
,0.113007,-2.60E-12,,
,0.115007,-4.43E-12,,
,0.117007,-5.61E-12,,
,0.119007,-5.50E-12,,
,0.121007,-5.07E-12,,
,0.123007,-4.53E-12,,
,0.125007,-4.64E-12,,
,0.127007,-5.29E-12,,
,0.129007,-6.90E-12,,
,0.131007,-8.51E-12,,
,0.133007,-9.58E-12,,
,0.135007,-9.79E-12,,
,0.137007,-9.58E-12,,
,0.139007,-9.26E-12,,
,0.141007,-8.94E-12,,
,0.143007,-9.69E-12,,
,0.145007,-1.10E-11,,
,0.147007,-1.30E-11,,
,0.149007,-1.42E-11,,
,0.151007,-1.51E-11,,
,0.153007,-1.47E-11,,
,0.155007,-1.43E-11,,
,0.157007,-1.40E-11,,
,0.159007,-1.43E-11,,
,0.161007,-1.55E-11,,
,0.163007,-1.71E-11,,
,0.165007,-1.86E-11,,
,0.167007,-1.91E-11,,
,0.169007,-1.88E-11,,
,0.171007,-1.80E-11,,
,0.173007,-1.72E-11,,
,0.175007,-1.69E-11,,
,0.177007,-1.77E-11,,
,0.179007,-1.90E-11,,
,0.181007,-2.05E-11,,
,0.183007,-2.12E-11,,
,0.185007,-2.14E-11,,
,0.187007,-2.06E-11,,
,0.189007,-1.99E-11,,
,0.191007,-1.92E-11,,
,0.193007,-1.97E-11,,
,0.195007,-2.06E-11,,
,0.197007,-2.22E-11,,
,0.199007,-2.32E-11,,
,0.201007,-2.35E-11,,
,0.203007,-2.26E-11,,
,0.205007,-2.15E-11,,
,0.207007,-2.07E-11,,
,0.209007,-2.06E-11,,
,0.211007,-2.15E-11,,
,0.213007,-2.27E-11,,
,0.215007,-2.41E-11,,
,0.217007,-2.45E-11,,
,0.219007,-2.42E-11,,
,0.221007,-2.30E-11,,
,0.223007,-2.17E-11,,
,0.225007,-2.10E-11,,
,0.227007,-2.14E-11,,
,0.229007,-2.26E-11,,
,0.231007,-2.38E-11,,
,0.233007,-2.44E-11,,
,0.235007,-2.45E-11,,
,0.237007,-2.38E-11,,
,0.239007,-2.26E-11,,
,0.241007,-2.15E-11,,
,0.243007,-2.13E-11,,
,0.245007,-2.22E-11,,
,0.247007,-2.32E-11,,
,0.249007,-2.43E-11,,
,0.251007,-2.42E-11,,
,0.253007,-2.34E-11,,
,0.255007,-2.19E-11,,
,0.257007,-2.06E-11,,
,0.259007,-2.03E-11,,
,0.261007,-2.10E-11,,
,0.263007,-2.20E-11,,
,0.265007,-2.29E-11,,
,0.267007,-2.31E-11,,
,0.269007,-2.26E-11,,
,0.271007,-2.14E-11,,
,0.273007,-2.00E-11,,
,0.275007,-1.92E-11,,
,0.277007,-1.96E-11,,
,0.279007,-2.05E-11,,
,0.281007,-2.16E-11,,
,0.283007,-2.19E-11,,
,0.285007,-2.14E-11,,
,0.287007,-2.01E-11,,
,0.289007,-1.86E-11,,
,0.291007,-1.75E-11,,
,0.293007,-1.74E-11,,
,0.295007,-1.81E-11,,
,0.297007,-1.90E-11,,
,0.299007,-1.95E-11,,
,0.301007,-1.91E-11,,
,0.303007,-1.80E-11,,
,0.305007,-1.61E-11,,
