5/7/2019, 11:19:22 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.408,-1.32E-11,,
,0.41,-1.18E-11,,
,0.412,-1.04E-11,,
,0.414,-8.29E-12,,
,0.416,-5.82E-12,,
,0.418,-3.03E-12,,
,0.42,-2.53E-14,,
,0.422,2.66E-12,,
,0.424,4.59E-12,,
,0.426,5.66E-12,,
,0.428,6.20E-12,,
,0.43,7.27E-12,,
,0.432,8.89E-12,,
,0.434,1.11E-11,,
,0.436,1.36E-11,,
,0.438,1.58E-11,,
,0.44,1.73E-11,,
,0.442,1.79E-11,,
,0.444,1.84E-11,,
,0.446,1.92E-11,,
,0.448,2.03E-11,,
,0.45,2.19E-11,,
,0.452,2.39E-11,,
,0.454,2.62E-11,,
,0.456,2.76E-11,,
,0.458,2.82E-11,,
,0.46,2.82E-11,,
,0.462,2.83E-11,,
,0.464,2.84E-11,,
,0.466,2.94E-11,,
,0.468,3.08E-11,,
,0.47,3.25E-11,,
,0.472,3.38E-11,,
,0.474,3.44E-11,,
,0.476,3.44E-11,,
,0.478,3.40E-11,,
,0.48,3.40E-11,,
,0.482,3.50E-11,,
,0.484,3.64E-11,,
,0.486,3.80E-11,,
,0.488,3.91E-11,,
,0.49,3.95E-11,,
,0.492,3.89E-11,,
,0.494,3.79E-11,,
,0.496,3.72E-11,,
,0.498,3.73E-11,,
,0.5,3.81E-11,,
,0.502,3.92E-11,,
,0.504,4.00E-11,,
,0.506,4.04E-11,,
,0.508,3.97E-11,,
,0.51,3.87E-11,,
,0.512,3.77E-11,,
,0.514,3.72E-11,,
,0.516,3.70E-11,,
,0.518,3.75E-11,,
,0.52,3.84E-11,,
,0.522,3.92E-11,,
,0.524,3.87E-11,,
,0.526,3.75E-11,,
,0.528,3.62E-11,,
,0.53,3.53E-11,,
,0.532,3.49E-11,,
,0.534,3.50E-11,,
,0.536,3.54E-11,,
,0.538,3.58E-11,,
,0.54,3.53E-11,,
,0.542,3.42E-11,,
,0.544,3.25E-11,,
,0.546,3.12E-11,,
,0.548,3.05E-11,,
,0.55,3.04E-11,,
,0.552,3.09E-11,,
,0.554,3.12E-11,,
,0.556,3.11E-11,,
,0.558,2.99E-11,,
,0.56,2.81E-11,,
,0.562,2.64E-11,,
,0.564,2.50E-11,,
,0.566,2.42E-11,,
,0.568,2.37E-11,,
,0.57,2.33E-11,,
,0.572,2.24E-11,,
,0.574,2.10E-11,,
,0.576,1.89E-11,,
,0.578,1.65E-11,,
,0.58,1.43E-11,,
,0.582,1.26E-11,,
,0.584,1.18E-11,,
,0.586,1.10E-11,,
,0.588,1.01E-11,,
,0.59,8.35E-12,,
,0.592,5.66E-12,,
,0.594,2.55E-12,,
,0.596,-4.55E-13,,
,0.598,-2.92E-12,,
,0.6,-4.86E-12,,
