5/7/2019, 10:22:38 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.70E-11,,
,0.004,-3.39E-11,,
,0.006,-5.10E-11,,
,0.008,-5.14E-11,,
,0.01,-5.25E-11,,
,0.012,-5.36E-11,,
,0.014,-5.46E-11,,
,0.016,-5.49E-11,,
,0.018,-5.48E-11,,
,0.02,-5.42E-11,,
,0.022,-5.38E-11,,
,0.024,-5.41E-11,,
,0.026,-5.50E-11,,
,0.028,-5.63E-11,,
,0.03,-5.71E-11,,
,0.032,-5.77E-11,,
,0.034,-5.75E-11,,
,0.036,-5.71E-11,,
,0.038,-5.65E-11,,
,0.04,-5.66E-11,,
,0.042,-5.70E-11,,
,0.044,-5.83E-11,,
,0.046,-5.94E-11,,
,0.048,-6.03E-11,,
,0.05,-6.03E-11,,
,0.052,-5.99E-11,,
,0.054,-5.96E-11,,
,0.056,-5.96E-11,,
,0.058,-6.00E-11,,
,0.06,-6.09E-11,,
,0.062,-6.21E-11,,
,0.064,-6.29E-11,,
,0.066,-6.32E-11,,
,0.068,-6.29E-11,,
,0.07,-6.23E-11,,
,0.072,-6.21E-11,,
,0.074,-6.21E-11,,
,0.076,-6.33E-11,,
,0.078,-6.45E-11,,
,0.08,-6.57E-11,,
,0.082,-6.62E-11,,
,0.084,-6.58E-11,,
,0.086,-6.53E-11,,
,0.088,-6.48E-11,,
,0.09,-6.47E-11,,
,0.092,-6.53E-11,,
,0.094,-6.63E-11,,
,0.096,-6.73E-11,,
,0.098,-6.78E-11,,
,0.1,-6.77E-11,,
,0.102,-6.69E-11,,
,0.104,-6.59E-11,,
,0.106,-6.53E-11,,
,0.108,-6.53E-11,,
,0.11,-6.63E-11,,
,0.112,-6.72E-11,,
,0.114,-6.82E-11,,
,0.116,-6.81E-11,,
,0.118,-6.78E-11,,
,0.12,-6.69E-11,,
,0.122,-6.65E-11,,
,0.124,-6.65E-11,,
,0.126,-6.72E-11,,
,0.128,-6.83E-11,,
,0.13,-6.93E-11,,
,0.132,-6.96E-11,,
,0.134,-6.94E-11,,
,0.136,-6.86E-11,,
,0.138,-6.80E-11,,
,0.14,-6.77E-11,,
,0.142,-6.84E-11,,
,0.144,-6.96E-11,,
,0.146,-7.09E-11,,
,0.148,-7.13E-11,,
,0.15,-7.13E-11,,
,0.152,-7.08E-11,,
,0.154,-7.01E-11,,
,0.156,-6.96E-11,,
,0.158,-6.98E-11,,
,0.16,-7.07E-11,,
,0.162,-7.18E-11,,
,0.164,-7.27E-11,,
,0.166,-7.29E-11,,
,0.168,-7.26E-11,,
,0.17,-7.21E-11,,
,0.172,-7.16E-11,,
,0.174,-7.17E-11,,
,0.176,-7.25E-11,,
,0.178,-7.37E-11,,
,0.18,-7.49E-11,,
,0.182,-7.52E-11,,
,0.184,-7.50E-11,,
,0.186,-7.38E-11,,
,0.188,-7.32E-11,,
,0.19,-7.30E-11,,
,0.192,-7.39E-11,,
,0.194,-7.46E-11,,
,0.196,-7.56E-11,,
,0.198,-7.61E-11,,
,0.2,-7.59E-11,,
,0.202,-7.51E-11,,
,0.204,-7.40E-11,,
,0.206,-7.33E-11,,
,0.208,-7.38E-11,,
,0.21,-7.46E-11,,
,0.212,-7.60E-11,,
,0.214,-7.67E-11,,
,0.216,-7.70E-11,,
,0.218,-7.66E-11,,
,0.22,-7.59E-11,,
,0.222,-7.52E-11,,
,0.224,-7.53E-11,,
,0.226,-7.62E-11,,
,0.228,-7.76E-11,,
,0.23,-7.86E-11,,
,0.232,-7.88E-11,,
,0.234,-7.85E-11,,
,0.236,-7.75E-11,,
,0.238,-7.67E-11,,
,0.24,-7.62E-11,,
,0.242,-7.68E-11,,
,0.244,-7.75E-11,,
,0.246,-7.84E-11,,
,0.248,-7.88E-11,,
,0.25,-7.88E-11,,
,0.252,-7.82E-11,,
,0.254,-7.74E-11,,
,0.256,-7.68E-11,,
,0.258,-7.69E-11,,
,0.26,-7.76E-11,,
,0.262,-7.86E-11,,
,0.264,-7.94E-11,,
,0.266,-7.91E-11,,
,0.268,-7.83E-11,,
,0.27,-7.71E-11,,
,0.272,-7.61E-11,,
,0.274,-7.59E-11,,
,0.276,-7.66E-11,,
,0.278,-7.75E-11,,
,0.28,-7.85E-11,,
,0.282,-7.85E-11,,
,0.284,-7.80E-11,,
,0.286,-7.68E-11,,
,0.288,-7.56E-11,,
,0.29,-7.51E-11,,
,0.292,-7.54E-11,,
,0.294,-7.64E-11,,
,0.296,-7.70E-11,,
,0.298,-7.68E-11,,
,0.3,-7.61E-11,,
,0.302,-7.53E-11,,
,0.304,-7.41E-11,,
,0.306,-7.30E-11,,
,0.308,-7.25E-11,,
,0.31,-7.29E-11,,
,0.312,-7.33E-11,,
,0.314,-7.36E-11,,
,0.316,-7.31E-11,,
,0.318,-7.23E-11,,
,0.32,-7.07E-11,,
,0.322,-6.93E-11,,
,0.324,-6.84E-11,,
