,Task,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_DFA_alpha1_ExpRange,HRV_DFA_alpha1_ExpMean,HRV_DFA_alpha1_DimRange,HRV_DFA_alpha1_DimMean,HRV_DFA_alpha2,HRV_DFA_alpha2_ExpRange,HRV_DFA_alpha2_ExpMean,HRV_DFA_alpha2_DimRange,HRV_DFA_alpha2_DimMean,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSE,HRV_CMSE,HRV_RCMSE,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
1,ACC-1,33.012228740270494,2083.2631578947367,2536.291810876709,583.4432536679006,2498.043483266759,,,,,3462.8791795442726,3476.069403112936,1.217461078436094,1.6622379973558987,1126.0,681.996,0.6056802841918295,1246.0,92.4812030075188,97.74436090225564,33.25,328.125,,0.021550315245876462,0.015046109438663814,0.0003733207232427638,5.049875437120552e-06,40.303440184003925,0.4069288098396049,0.010096627185713823,-7.893072659942011,2457.9522468162313,2626.7570454599027,0.9357364249063558,20283515.0963568,1.0686770049590357,8.014113329590845,11228.619408388538,0.6090225563909775,0.6212121212121212,0.8780487804878049,0.2222222222222222,50.08980603465181,50.27901541797676,49.43699829860876,49.24242424242424,0.486218551650044,0.513781448349956,1713.915560819237,1761.825406604973,0.5262562822935487,0.47374371770645146,1905.5421183885214,1807.9717395248804,0.5075651368297303,0.4924348631702696,1812.2634072577493,1785.0476988416024,0.7104615955897768,1.8945258665083422,1.2148763323737297,1.0612426641409078,0.3285557968799476,0.6657012854846215,1.7329958985128773,0.264735963160718,1.7693177860148595,1.7705597074474368,0.8154154380049334,0.8698243197342228,6.889868901666603,0.8412975233861921,0.0,1.215171120826349,1.2104393600175871,0.5249486771685179,2.0314010946342296,2.2503239033004814,1.1139919635001878
2,ACC-3,35.43245242813292,1884.012987012987,2488.422326099983,523.3251637794488,2502.7116882386354,,,,,3353.1601756251807,3364.1722142759727,1.3208095396652537,1.7797967417100753,1218.0,683.4785999999999,0.561148275862069,938.5,97.40259740259741,98.05194805194806,38.5,656.25,,0.0163607010779649,0.006740480175765969,0.00036051427305621385,4.619731478322582e-06,18.69684691988588,0.28724067249509094,0.01536305419442586,-7.927979009634085,2378.828985793903,2607.0779392823965,0.9124502762079605,19483505.977592904,1.095950131283741,7.996637219060795,11428.90963929395,0.6103896103896104,0.6209150326797386,0.8736842105263158,0.16279069767441862,50.00826947461271,49.36970152677012,50.98945434345825,50.98039215686274,0.5178535651661569,0.4821464348338432,1711.8539465183721,1651.7819006661928,0.4941873472021584,0.5058126527978415,1832.7356411377812,1854.167050509806,0.5049393103647191,0.49506068963528094,1773.3251061927758,1755.8927784128298,0.691157257227911,1.6136430948995766,0.9879523736906449,1.239468706485584,0.29812039797299417,0.5501932686407588,3.469663804399053,1.2976633055099294,3.2800384031069623,-0.6193793543999226,0.9265881082180076,0.9556400706627027,7.136916410824772,0.8318395616624747,0.0,1.020152978959073,0.9768859470346797,0.4680771975624241,1.9802263352252034,1.975823315697924,1.0381123629564144
3,ACC-no task,31.067515884967662,2236.852071005917,4182.762209141807,2419.0240001037537,4472.913767942212,1627.2470836642963,4581.725638739637,,,5811.76450953458,5829.138652322584,1.8699324212623547,2.5981890286204834,1178.0,545.5967999999999,0.4631551782682512,670.0,94.0828402366864,98.22485207100591,42.25,523.4375,,0.01356886810371961,0.0005331339652774791,9.02763892235808e-06,1.5045702248116716e-07,59.055747561757926,0.03778096226154116,0.000639750808708864,-11.615219695116963,4121.823469533911,4265.486801774955,0.9663195928349225,55234173.903073885,1.034854314674784,8.449177972931633,17656.629684020627,0.6153846153846154,0.625,0.8952380952380953,0.17391304347826086,49.955705441183866,48.61133898698494,50.927486070202846,54.166666666666664,0.5183920826657343,0.4816079173342656,2967.690428437898,2860.4622778693956,0.47331835794066174,0.5266816420593381,2934.5754302701525,3095.5847105467947,0.4950833959955184,0.5049166040044816,2951.1793773834866,2980.343029190168,0.5927429734720112,3.4808416191739733,1.5270187763739735,2.998524704832519,-0.5926913644102493,0.314711796502233,1.1785781819789578,0.3855411277839614,2.137763632822547,0.921180999038854,0.6238840736401647,0.45479373261083195,7.258867601962658,0.4544610528988908,0.0,0.4938626681828709,0.4836686518121355,0.20805559916268837,2.041809463498799,1.8962162911732328,1.0948046503376012
4,lane-1,26.543574787051085,2606.5982905982905,2993.0856326673666,584.4513528930573,3036.3166023937483,79.65123515042622,2928.9873547731586,,,3757.7998331745794,3774.102435149912,1.1482726906800687,1.4416490054215658,1340.0,987.4115999999996,0.7368743283582087,2510.0,93.16239316239316,97.43589743589743,58.5,414.0625,,0.013015890158269166,0.01589415916848102,0.001645368200373938,3.458037707629321e-05,9.659940653325377,0.5195868014851528,0.05378778401772977,-6.4097910897964505,2668.6934247871645,3300.9280606776506,0.8084676114508554,27674808.08352751,1.2369079303070971,8.149054727821351,16331.77638250165,0.5897435897435898,0.603448275862069,0.8285714285714286,0.13333333333333333,49.96796161354254,50.33346254340757,51.73021682284311,45.689655172413794,0.5483476857778438,0.4516523142221563,1976.1810337772372,1793.4977630560224,0.4995071910026672,0.500492808997333,2332.9580626160523,2335.258602348757,0.5188121846649958,0.4811878153350044,2161.9418123744813,2082.074322152169,0.70883693759896,2.7236889513869014,1.4674525613275642,1.755169544561809,0.1368366508240694,0.314711796502233,1.1785781819789578,0.3855411277839614,2.137763632822547,0.921180999038854,0.8626718612141793,1.0943296268761091,6.801988651207336,1.018842449173896,0.0,1.3290954709541292,1.3777088352383442,0.7184134999968357,1.9682106360452476,2.273211675069602,1.1157002536075613
5,lane-3,34.51709387070648,1945.9324324324325,2228.785574760549,255.92344534639298,2273.4699177422253,,,,,2912.1284545937224,2922.0827618554213,1.145356096447063,1.4965208483387762,1079.0,714.6132,0.6622921223354958,1337.0,93.24324324324324,98.64864864864865,49.333333333333336,140.625,,0.022181978396987146,0.022257368423572614,0.0008905645473653021,2.9195183135062224e-05,24.992425860000946,0.49069239047990937,0.01963364393791147,-7.02365497345345,2066.224536096284,2390.40787677576,0.8643815794663702,15516701.241946576,1.1568964722933528,7.897769508282575,11061.81775993648,0.6216216216216216,0.6326530612244898,0.8279569892473119,0.21052631578947367,50.09075830125498,51.190872284519195,48.90954777323117,46.25850340136054,0.46310629655859487,0.5368937034414054,1406.1061652468513,1513.9862289234545,0.5880386791638317,0.41196132083616843,1833.0527289938407,1534.2644850480738,0.534612421096901,0.46538757890309923,1633.587594103385,1524.159081501943,0.7020973375180457,1.6703790008537323,1.0009972608373654,1.53073532437336,0.4902294683804159,0.5264611059188691,7.912413172970249,3.728908201274887,7.541067758480385,-1.4428603685964119,0.9197313000976002,0.9986529534899251,7.123271693317036,0.967443426873398,0.0,0.9914361340511426,0.928779121659554,0.7941813324196526,2.0042706706076383,2.524342649932716,1.1203880230369314
6,lane-no task,29.819874912822453,2357.060773480663,3597.988206647564,1034.7340351087478,3666.4741042760133,1069.6577516801722,3958.3069723771205,,,4795.370014688937,4808.746246805927,1.5264723960996678,2.0344702472849825,1028.0,619.7267999999999,0.6028470817120621,984.0,97.23756906077348,97.79005524861878,36.2,296.875,,0.018564882816186568,0.004671511455099955,7.495224642575375e-05,1.4631751843436694e-06,62.32650357888157,0.20038388837032192,0.0032150670559710185,-9.498659361539895,3400.2970801218294,3801.6860300495446,0.8944181747900722,40610934.402626455,1.1180452591258097,8.315613092094921,17001.828170326855,0.5469613259668509,0.5555555555555556,0.83,0.11538461538461539,50.001142590755975,50.97666584174444,48.711481767323974,47.22222222222222,0.469246403596025,0.5307535964039749,2329.256622488776,2477.2129139880262,0.57132929506216,0.42867070493784026,2873.5548646836833,2489.075955194337,0.5259596292433978,0.4740403707566021,2615.602604922533,2483.15151893271,0.6980426094842037,2.1558230209981115,1.2364585836793744,2.177697638026495,0.11086938305617511,0.5503781495965138,2.059917891320881,1.4205070787222869,1.5950392161267342,0.47703270394404224,0.8141971719673005,0.5913254620120438,7.3851780003309235,0.7499673262782854,0.0,1.0591533534946689,1.008410459002226,0.3910886689922247,1.9990729551829487,2.3911266052455815,1.0773259285312893
7,manual-1,46.29337976204307,1398.0736842105264,1045.054533825338,70.44613119656418,905.2570693553704,,,,,1416.5100865849226,1420.2706895873764,0.7474960337412162,1.0131870033622778,1104.0,649.3788,0.5882054347826087,911.0,94.73684210526315,97.89473684210527,63.333333333333336,226.5625,,0.010621487680648113,0.05507121201020512,0.029276969244836814,0.0003231431514216358,1.8810421102559067,0.57791569798425,0.30723166421065784,-3.5309541046441435,1004.283035727728,1085.6868724061308,0.9250208888516878,3425394.420329804,1.081056668073075,7.2416806959246784,4694.7561314161985,0.7,0.7074468085106383,0.924812030075188,0.30952380952380953,49.87936434288364,49.817742050664485,50.14888947997759,49.46808510638298,0.5068385443952316,0.4931614556047685,714.9760076319776,705.2631846158341,0.48747797002388477,0.5125220299761154,758.0224769497743,777.2502231289066,0.49640532128900805,0.5035946787109918,736.8136694750012,742.1300657325518,0.7020848245506709,1.5207485198050743,0.9529178381892713,1.2179513175601393,0.3847293601426716,0.38710222828571283,0.7988534393489097,0.6196482042262168,0.4191646428692184,0.8002782903676685,1.0677776674223924,1.6050806070651447,7.401434555699371,1.1533948740860125,0.0,1.3744102064371055,1.2509089362589292,1.1076771382946935,1.9928044320119063,2.4649421285962774,1.1553990139031447
8,manual-3,48.667245513673265,1316.0964912280701,1018.1635058128592,150.90898843092947,1021.6853376758339,138.0115723102372,1009.3546640915944,,,1272.0011705865559,1274.8100134632234,0.7736237522089242,0.9664953740585022,1036.0,489.258,0.4722567567567567,713.5,92.10526315789474,96.49122807017544,45.6,453.125,,0.012144671170138666,0.022708092630675268,0.0043525465771187275,0.00015795904352983812,5.217196927897652,0.5768853289989643,0.1105738075391049,-5.436994185145706,901.4268052443592,1125.1562998082043,0.8011569640573649,3186347.93564361,1.2481948542712753,7.210263307126741,5617.657214686035,0.6578947368421053,0.6651982378854626,0.8940397350993378,0.2545454545454545,49.85066340975962,50.23258964254359,49.23981913428888,48.458149779735685,0.4724243137126689,0.527575686287331,619.579931917907,654.7471375724311,0.5603037489472457,0.43969625105275434,842.2181965075846,746.0865958249091,0.5259488032630975,0.47405119673690277,739.3276616507347,701.9042038016631,0.7421404126208322,3.0668812465522395,1.8592213321683608,3.021717551749825,-0.2349564086411477,0.6809277116932443,0.6667722360973136,0.828177864563951,1.4399211765336062,0.5752166679974362,1.1554195905031346,1.510637327690007,7.5597993891362725,1.1092780842585812,0.7202540583759995,1.1032288111151667,1.0486332238095253,0.9838429209856135,1.986803918975623,2.528473858843701,1.1680625459719352
9,manual-no task,45.907605551627874,1397.541935483871,1204.8534253397283,262.53201699080444,1205.529016429569,164.96944124252533,1165.0373241673326,,,1558.8219516746144,1561.3500671246934,0.8621232714012063,1.1154026309306444,1093.0,576.7314,0.5276591033851784,795.5,95.48387096774194,99.03225806451613,62.0,304.6875,,0.009490747739702446,0.0343123221768688,0.0021564595382483932,2.8555585210895226e-05,15.91141478348318,0.746113306240116,0.04689170110847828,-6.139287504747323,1104.0412202699417,1301.3088854395155,0.8484082700296426,4513521.923724408,1.1786778079910287,7.3614856662799655,6135.2956184363875,0.6451612903225806,0.6504854368932039,0.9154228855721394,0.14772727272727273,49.94122284149529,50.257944428043736,49.19373203825568,51.1326860841424,0.47801589686110996,0.5219841031388899,763.3198679316691,797.6530590409609,0.5118357301177188,0.4881642698822814,930.9914554044711,909.2082958748776,0.4976809121009397,0.5023190878990602,851.2938126215167,855.2514624030472,0.7369427291645119,1.7887578491067404,1.12463137511997,1.4400973318604682,0.1967881756357901,0.6262368977145999,0.5961035107147155,0.7048927743445533,0.7641040829788803,0.902852244831208,1.1851977281371147,1.3514051323572693,8.008319405246322,1.0177528823825064,0.870977960761894,1.2805908044833325,1.2592838402813566,0.8918456171493261,1.9807563550537979,2.749776255286166,1.1212813710371548
10,rest,26.74310665452473,2666.6052631578946,4816.463751360121,2584.784110026339,5362.734815765597,2545.7845468118153,5181.969315691875,,,6391.725658902955,6405.8506563391265,1.806215497248469,2.396952315069547,1079.0,686.4438,0.6361851714550509,1108.5,92.54385964912281,97.36842105263158,57.0,31.25,,0.019572737396619404,0.0028460319455377407,3.817951162415408e-05,8.735803294823737e-07,74.54343506419323,0.12672786748972395,0.001700054034008387,-10.173211531153562,4529.620438365692,5103.7930257121525,0.8875008088192715,72628109.2919171,1.1267595365128704,8.56807484839862,23002.989856436183,0.6096491228070176,0.6150442477876106,0.8489208633093526,0.2,49.962141174047616,48.73620103887535,49.69159414465733,51.76991150442478,0.4911922181359644,0.5088077818640356,3174.5895059004793,3231.013033282122,0.5058141856276229,0.4941858143723771,3629.8489804266437,3587.8823320454176,0.4993716178297123,0.5006283821702879,3409.8256664877895,3414.1137100163055,0.6075726111356318,2.7599492704302735,1.4103869956418407,1.7554696858418795,0.11807908494952737,0.6765717951010389,0.836750030583765,0.8046622669328716,1.657806758113591,1.1202842773279682,0.7204030417340301,0.459745704094346,7.603659038259082,0.5611447155834139,0.25343666353635996,0.9649721535223666,0.9254990046839056,0.29308862371752425,1.9754165287220684,2.177910328875169,1.0649982036802939
