5/5/2019, 3:40:10 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.15E-10,,
,0.004,-2.29E-10,,
,0.006,-3.43E-10,,
,0.008,-3.40E-10,,
,0.01,-3.36E-10,,
,0.012,-3.33E-10,,
,0.014,-3.29E-10,,
,0.016,-3.26E-10,,
,0.018,-3.22E-10,,
,0.02,-3.19E-10,,
,0.022,-3.16E-10,,
,0.024,-3.13E-10,,
,0.026,-3.09E-10,,
,0.028,-3.06E-10,,
,0.03,-3.02E-10,,
,0.032,-2.98E-10,,
,0.034,-2.95E-10,,
,0.036,-2.91E-10,,
,0.038,-2.88E-10,,
,0.04,-2.85E-10,,
,0.042,-2.82E-10,,
,0.044,-2.78E-10,,
,0.046,-2.75E-10,,
,0.048,-2.71E-10,,
,0.05,-2.67E-10,,
,0.052,-2.64E-10,,
,0.054,-2.60E-10,,
,0.056,-2.57E-10,,
,0.058,-2.54E-10,,
,0.06,-2.51E-10,,
,0.062,-2.47E-10,,
,0.064,-2.43E-10,,
,0.066,-2.39E-10,,
,0.068,-2.35E-10,,
,0.07,-2.32E-10,,
,0.072,-2.29E-10,,
,0.074,-2.26E-10,,
,0.076,-2.22E-10,,
,0.078,-2.19E-10,,
,0.08,-2.15E-10,,
,0.082,-2.11E-10,,
,0.084,-2.08E-10,,
,0.086,-2.04E-10,,
,0.088,-2.02E-10,,
,0.09,-1.98E-10,,
,0.092,-1.95E-10,,
,0.094,-1.92E-10,,
,0.096,-1.88E-10,,
,0.098,-1.85E-10,,
,0.1,-1.81E-10,,
,0.102,-1.78E-10,,
,0.104,-1.75E-10,,
,0.106,-1.72E-10,,
,0.108,-1.69E-10,,
,0.11,-1.66E-10,,
,0.112,-1.63E-10,,
,0.114,-1.59E-10,,
,0.116,-1.56E-10,,
,0.118,-1.53E-10,,
,0.12,-1.51E-10,,
,0.122,-1.48E-10,,
,0.124,-1.46E-10,,
,0.126,-1.43E-10,,
,0.128,-1.39E-10,,
,0.13,-1.36E-10,,
,0.132,-1.33E-10,,
,0.134,-1.30E-10,,
,0.136,-1.27E-10,,
,0.138,-1.25E-10,,
,0.14,-1.22E-10,,
,0.142,-1.20E-10,,
,0.144,-1.17E-10,,
,0.146,-1.14E-10,,
,0.148,-1.11E-10,,
,0.15,-1.09E-10,,
,0.152,-1.06E-10,,
,0.154,-1.04E-10,,
,0.156,-1.03E-10,,
,0.158,-1.01E-10,,
,0.16,-9.86E-11,,
,0.162,-9.63E-11,,
,0.164,-9.39E-11,,
,0.166,-9.15E-11,,
,0.168,-8.95E-11,,
,0.17,-8.78E-11,,
,0.172,-8.66E-11,,
,0.174,-8.51E-11,,
,0.176,-8.35E-11,,
,0.178,-8.19E-11,,
,0.18,-8.02E-11,,
,0.182,-7.85E-11,,
,0.184,-7.69E-11,,
,0.186,-7.57E-11,,
,0.188,-7.47E-11,,
,0.19,-7.40E-11,,
,0.192,-7.30E-11,,
,0.194,-7.23E-11,,
,0.196,-7.11E-11,,
,0.198,-6.99E-11,,
,0.2,-6.85E-11,,
,0.202,-6.78E-11,,
,0.204,-6.76E-11,,
,0.206,-6.74E-11,,
,0.208,-6.72E-11,,
,0.21,-6.68E-11,,
,0.212,-6.63E-11,,
,0.214,-6.52E-11,,
,0.216,-6.40E-11,,
,0.218,-6.33E-11,,
,0.22,-6.34E-11,,
,0.222,-6.34E-11,,
,0.224,-6.29E-11,,
,0.226,-6.20E-11,,
,0.228,-6.11E-11,,
,0.23,-6.00E-11,,
,0.232,-5.89E-11,,
,0.234,-5.76E-11,,
,0.236,-5.67E-11,,
,0.238,-5.65E-11,,
,0.24,-5.64E-11,,
,0.242,-5.61E-11,,
,0.244,-5.52E-11,,
,0.246,-5.41E-11,,
,0.248,-5.33E-11,,
,0.25,-5.25E-11,,
,0.252,-5.21E-11,,
,0.254,-5.19E-11,,
,0.256,-5.19E-11,,
,0.258,-5.18E-11,,
,0.26,-5.13E-11,,
,0.262,-5.05E-11,,
,0.264,-4.97E-11,,
,0.266,-4.89E-11,,
,0.268,-4.86E-11,,
,0.27,-4.84E-11,,
,0.272,-4.89E-11,,
,0.274,-4.91E-11,,
,0.276,-4.94E-11,,
,0.278,-4.94E-11,,
,0.28,-4.92E-11,,
,0.282,-4.87E-11,,
,0.284,-4.86E-11,,
,0.286,-4.89E-11,,
,0.288,-4.96E-11,,
,0.29,-5.02E-11,,
,0.292,-5.07E-11,,
,0.294,-5.08E-11,,
,0.296,-5.08E-11,,
,0.298,-5.07E-11,,
,0.3,-5.07E-11,,
,0.302,-5.08E-11,,
,0.304,-5.12E-11,,
,0.306,-5.19E-11,,
,0.308,-5.24E-11,,
,0.31,-5.26E-11,,
,0.312,-5.27E-11,,
,0.314,-5.27E-11,,
,0.316,-5.28E-11,,
,0.318,-5.30E-11,,
,0.32,-5.33E-11,,
,0.322,-5.39E-11,,
,0.324,-5.43E-11,,
