5/5/2019, 3:15:01 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.82E-11,,
,0.004,-3.66E-11,,
,0.006,-5.50E-11,,
,0.008,-5.53E-11,,
,0.01,-5.54E-11,,
,0.012,-5.56E-11,,
,0.014,-5.57E-11,,
,0.016,-5.57E-11,,
,0.018,-5.59E-11,,
,0.02,-5.60E-11,,
,0.022,-5.61E-11,,
,0.024,-5.61E-11,,
,0.026,-5.63E-11,,
,0.028,-5.64E-11,,
,0.03,-5.64E-11,,
,0.032,-5.61E-11,,
,0.034,-5.60E-11,,
,0.036,-5.59E-11,,
,0.038,-5.61E-11,,
,0.04,-5.60E-11,,
,0.042,-5.57E-11,,
,0.044,-5.54E-11,,
,0.046,-5.53E-11,,
,0.048,-5.48E-11,,
,0.05,-5.41E-11,,
,0.052,-5.37E-11,,
,0.054,-5.35E-11,,
,0.056,-5.32E-11,,
,0.058,-5.27E-11,,
,0.06,-5.25E-11,,
,0.062,-5.20E-11,,
,0.064,-5.11E-11,,
,0.066,-5.02E-11,,
,0.068,-4.97E-11,,
,0.07,-4.93E-11,,
,0.072,-4.91E-11,,
,0.074,-4.83E-11,,
,0.076,-4.76E-11,,
,0.078,-4.66E-11,,
,0.08,-4.58E-11,,
,0.082,-4.50E-11,,
,0.084,-4.40E-11,,
,0.086,-4.32E-11,,
,0.088,-4.24E-11,,
,0.09,-4.19E-11,,
,0.092,-4.14E-11,,
,0.094,-4.05E-11,,
,0.096,-3.95E-11,,
,0.098,-3.84E-11,,
,0.1,-3.74E-11,,
,0.102,-3.64E-11,,
,0.104,-3.60E-11,,
,0.106,-3.58E-11,,
,0.108,-3.60E-11,,
,0.11,-3.59E-11,,
,0.112,-3.55E-11,,
,0.114,-3.46E-11,,
,0.116,-3.37E-11,,
,0.118,-3.33E-11,,
,0.12,-3.30E-11,,
,0.122,-3.29E-11,,
,0.124,-3.24E-11,,
,0.126,-3.22E-11,,
,0.128,-3.16E-11,,
,0.13,-3.09E-11,,
,0.132,-2.99E-11,,
,0.134,-2.89E-11,,
,0.136,-2.80E-11,,
,0.138,-2.73E-11,,
,0.14,-2.68E-11,,
,0.142,-2.60E-11,,
,0.144,-2.54E-11,,
,0.146,-2.44E-11,,
,0.148,-2.33E-11,,
,0.15,-2.19E-11,,
,0.152,-2.07E-11,,
,0.154,-1.98E-11,,
,0.156,-1.92E-11,,
,0.158,-1.87E-11,,
,0.16,-1.80E-11,,
,0.162,-1.69E-11,,
,0.164,-1.56E-11,,
,0.166,-1.43E-11,,
,0.168,-1.33E-11,,
,0.17,-1.27E-11,,
,0.172,-1.26E-11,,
,0.174,-1.23E-11,,
,0.176,-1.18E-11,,
,0.178,-1.11E-11,,
,0.18,-1.03E-11,,
,0.182,-9.58E-12,,
,0.184,-8.83E-12,,
,0.186,-8.51E-12,,
,0.188,-8.29E-12,,
,0.19,-8.29E-12,,
,0.192,-7.97E-12,,
,0.194,-7.65E-12,,
,0.196,-7.00E-12,,
,0.198,-6.57E-12,,
,0.2,-6.25E-12,,
,0.202,-6.36E-12,,
,0.204,-6.57E-12,,
,0.206,-6.79E-12,,
,0.208,-7.11E-12,,
,0.21,-7.22E-12,,
,0.212,-7.22E-12,,
,0.214,-7.00E-12,,
,0.216,-6.90E-12,,
,0.218,-7.11E-12,,
,0.22,-7.54E-12,,
,0.222,-8.18E-12,,
,0.224,-9.26E-12,,
,0.226,-9.90E-12,,
,0.228,-1.07E-11,,
,0.23,-1.09E-11,,
,0.232,-1.13E-11,,
,0.234,-1.17E-11,,
,0.236,-1.25E-11,,
,0.238,-1.34E-11,,
,0.24,-1.44E-11,,
,0.242,-1.52E-11,,
,0.244,-1.58E-11,,
,0.246,-1.61E-11,,
,0.248,-1.61E-11,,
,0.25,-1.63E-11,,
,0.252,-1.69E-11,,
,0.254,-1.80E-11,,
,0.256,-1.89E-11,,
,0.258,-1.99E-11,,
,0.26,-2.05E-11,,
,0.262,-2.11E-11,,
,0.264,-2.13E-11,,
,0.266,-2.17E-11,,
,0.268,-2.21E-11,,
,0.27,-2.30E-11,,
,0.272,-2.39E-11,,
,0.274,-2.50E-11,,
,0.276,-2.57E-11,,
,0.278,-2.61E-11,,
,0.28,-2.62E-11,,
,0.282,-2.66E-11,,
,0.284,-2.69E-11,,
,0.286,-2.73E-11,,
,0.288,-2.78E-11,,
,0.29,-2.87E-11,,
,0.292,-2.94E-11,,
,0.294,-2.99E-11,,
,0.296,-3.02E-11,,
,0.298,-3.03E-11,,
,0.3,-3.03E-11,,
,0.302,-3.05E-11,,
,0.304,-3.13E-11,,
,0.306,-3.22E-11,,
,0.308,-3.29E-11,,
,0.31,-3.33E-11,,
,0.312,-3.35E-11,,
,0.314,-3.36E-11,,
,0.316,-3.36E-11,,
,0.318,-3.38E-11,,
,0.32,-3.42E-11,,
,0.322,-3.46E-11,,
,0.324,-3.51E-11,,
