5/15/2019, 7:58:37 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,4.12E-10,,
,0.004,8.25E-10,,
,0.006,1.24E-09,,
,0.008,1.24E-09,,
,0.01,1.25E-09,,
,0.012,1.25E-09,,
,0.014,1.25E-09,,
,0.016,1.26E-09,,
,0.018,1.27E-09,,
,0.02,1.27E-09,,
,0.022,1.28E-09,,
,0.024,1.29E-09,,
,0.026,1.29E-09,,
,0.028,1.30E-09,,
,0.03,1.30E-09,,
,0.032,1.31E-09,,
,0.034,1.31E-09,,
,0.036,1.32E-09,,
,0.038,1.33E-09,,
,0.04,1.33E-09,,
,0.042,1.34E-09,,
,0.044,1.34E-09,,
,0.046,1.35E-09,,
,0.048,1.35E-09,,
,0.05,1.36E-09,,
,0.052,1.36E-09,,
,0.054,1.37E-09,,
,0.056,1.38E-09,,
,0.058,1.38E-09,,
,0.06,1.39E-09,,
,0.062,1.39E-09,,
,0.064,1.39E-09,,
,0.066,1.39E-09,,
,0.068,1.40E-09,,
,0.07,1.40E-09,,
,0.072,1.40E-09,,
,0.074,1.40E-09,,
,0.076,1.41E-09,,
,0.078,1.40E-09,,
,0.08,1.40E-09,,
,0.082,1.40E-09,,
,0.084,1.40E-09,,
,0.086,1.41E-09,,
,0.088,1.41E-09,,
,0.09,1.41E-09,,
,0.092,1.41E-09,,
,0.094,1.41E-09,,
,0.096,1.40E-09,,
,0.098,1.40E-09,,
,0.1,1.40E-09,,
,0.102,1.39E-09,,
,0.104,1.39E-09,,
,0.106,1.39E-09,,
,0.108,1.38E-09,,
,0.11,1.38E-09,,
,0.112,1.37E-09,,
,0.114,1.36E-09,,
,0.116,1.36E-09,,
,0.118,1.35E-09,,
,0.12,1.35E-09,,
,0.122,1.35E-09,,
,0.124,1.34E-09,,
,0.126,1.34E-09,,
,0.128,1.33E-09,,
,0.13,1.32E-09,,
,0.132,1.31E-09,,
,0.134,1.30E-09,,
,0.136,1.29E-09,,
,0.138,1.28E-09,,
,0.14,1.27E-09,,
,0.142,1.26E-09,,
,0.144,1.25E-09,,
,0.146,1.24E-09,,
,0.148,1.23E-09,,
,0.15,1.22E-09,,
,0.152,1.21E-09,,
,0.154,1.20E-09,,
,0.156,1.19E-09,,
,0.158,1.18E-09,,
,0.16,1.17E-09,,
,0.162,1.16E-09,,
,0.164,1.14E-09,,
,0.166,1.13E-09,,
,0.168,1.12E-09,,
,0.17,1.11E-09,,
,0.172,1.10E-09,,
,0.174,1.09E-09,,
,0.176,1.07E-09,,
,0.178,1.06E-09,,
,0.18,1.05E-09,,
,0.182,1.04E-09,,
,0.184,1.03E-09,,
,0.186,1.02E-09,,
,0.188,1.01E-09,,
,0.19,1.00E-09,,
,0.192,9.92E-10,,
,0.194,9.80E-10,,
,0.196,9.67E-10,,
,0.198,9.55E-10,,
,0.2,9.43E-10,,
,0.202,9.33E-10,,
,0.204,9.24E-10,,
,0.206,9.15E-10,,
,0.208,9.05E-10,,
,0.21,8.93E-10,,
,0.212,8.80E-10,,
,0.214,8.68E-10,,
,0.216,8.58E-10,,
,0.218,8.49E-10,,
,0.22,8.41E-10,,
,0.222,8.33E-10,,
,0.224,8.24E-10,,
,0.226,8.15E-10,,
,0.228,8.03E-10,,
,0.23,7.92E-10,,
,0.232,7.81E-10,,
,0.234,7.71E-10,,
,0.236,7.62E-10,,
,0.238,7.53E-10,,
,0.24,7.43E-10,,
,0.242,7.32E-10,,
,0.244,7.20E-10,,
,0.246,7.09E-10,,
,0.248,6.99E-10,,
,0.25,6.90E-10,,
,0.252,6.82E-10,,
,0.254,6.75E-10,,
,0.256,6.68E-10,,
,0.258,6.59E-10,,
,0.26,6.48E-10,,
,0.262,6.36E-10,,
,0.264,6.24E-10,,
,0.266,6.13E-10,,
,0.268,6.03E-10,,
,0.27,5.94E-10,,
,0.272,5.85E-10,,
,0.274,5.76E-10,,
,0.276,5.67E-10,,
,0.278,5.57E-10,,
,0.28,5.47E-10,,
,0.282,5.38E-10,,
,0.284,5.32E-10,,
,0.286,5.27E-10,,
,0.288,5.22E-10,,
,0.29,5.16E-10,,
,0.292,5.09E-10,,
,0.294,5.01E-10,,
,0.296,4.92E-10,,
,0.298,4.83E-10,,
,0.3,4.76E-10,,
,0.302,4.70E-10,,
,0.304,4.65E-10,,
,0.306,4.60E-10,,
,0.308,4.54E-10,,
,0.31,4.48E-10,,
,0.312,4.42E-10,,
,0.314,4.37E-10,,
,0.316,4.33E-10,,
,0.318,4.30E-10,,
,0.32,4.29E-10,,
,0.322,4.27E-10,,
,0.324,4.25E-10,,
,0.326,4.20E-10,,
,0.328,4.14E-10,,
,0.33,4.08E-10,,
,0.332,4.03E-10,,
,0.334,3.99E-10,,
,0.336,3.95E-10,,
,0.338,3.92E-10,,
,0.34,3.88E-10,,
,0.342,3.84E-10,,
,0.344,3.77E-10,,
,0.346,3.70E-10,,
,0.348,3.64E-10,,
