5/7/2019, 3:40:23 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-9.49E-12,,
,0.004,-1.92E-11,,
,0.006,-2.90E-11,,
,0.008,-2.91E-11,,
,0.01,-2.88E-11,,
,0.012,-2.80E-11,,
,0.014,-2.74E-11,,
,0.016,-2.69E-11,,
,0.018,-2.68E-11,,
,0.02,-2.71E-11,,
,0.022,-2.76E-11,,
,0.024,-2.80E-11,,
,0.026,-2.79E-11,,
,0.028,-2.76E-11,,
,0.03,-2.70E-11,,
,0.032,-2.65E-11,,
,0.034,-2.63E-11,,
,0.036,-2.66E-11,,
,0.038,-2.72E-11,,
,0.04,-2.76E-11,,
,0.042,-2.78E-11,,
,0.044,-2.79E-11,,
,0.046,-2.76E-11,,
,0.048,-2.71E-11,,
,0.05,-2.64E-11,,
,0.052,-2.66E-11,,
,0.054,-2.74E-11,,
,0.056,-2.83E-11,,
,0.058,-2.89E-11,,
,0.06,-2.90E-11,,
,0.062,-2.91E-11,,
,0.064,-2.89E-11,,
,0.066,-2.90E-11,,
,0.068,-2.91E-11,,
,0.07,-2.95E-11,,
,0.072,-3.03E-11,,
,0.074,-3.08E-11,,
,0.076,-3.11E-11,,
,0.078,-3.08E-11,,
,0.08,-3.07E-11,,
,0.082,-3.08E-11,,
,0.084,-3.09E-11,,
,0.086,-3.17E-11,,
,0.088,-3.27E-11,,
,0.09,-3.38E-11,,
,0.092,-3.44E-11,,
,0.094,-3.44E-11,,
,0.096,-3.41E-11,,
,0.098,-3.34E-11,,
,0.1,-3.33E-11,,
,0.102,-3.34E-11,,
,0.104,-3.43E-11,,
,0.106,-3.48E-11,,
,0.108,-3.53E-11,,
,0.11,-3.53E-11,,
,0.112,-3.53E-11,,
,0.114,-3.50E-11,,
,0.116,-3.49E-11,,
,0.118,-3.50E-11,,
,0.12,-3.55E-11,,
,0.122,-3.60E-11,,
,0.124,-3.64E-11,,
,0.126,-3.67E-11,,
,0.128,-3.66E-11,,
,0.13,-3.63E-11,,
,0.132,-3.59E-11,,
,0.134,-3.60E-11,,
,0.136,-3.64E-11,,
,0.138,-3.70E-11,,
,0.14,-3.72E-11,,
,0.142,-3.72E-11,,
,0.144,-3.68E-11,,
,0.146,-3.62E-11,,
,0.148,-3.52E-11,,
,0.15,-3.46E-11,,
,0.152,-3.47E-11,,
,0.154,-3.53E-11,,
,0.156,-3.62E-11,,
,0.158,-3.65E-11,,
,0.16,-3.64E-11,,
,0.162,-3.60E-11,,
,0.164,-3.53E-11,,
,0.166,-3.49E-11,,
,0.168,-3.45E-11,,
,0.17,-3.46E-11,,
,0.172,-3.45E-11,,
,0.174,-3.45E-11,,
,0.176,-3.44E-11,,
,0.178,-3.42E-11,,
,0.18,-3.36E-11,,
,0.182,-3.32E-11,,
,0.184,-3.31E-11,,
,0.186,-3.32E-11,,
,0.188,-3.33E-11,,
,0.19,-3.35E-11,,
,0.192,-3.38E-11,,
,0.194,-3.38E-11,,
,0.196,-3.34E-11,,
,0.198,-3.29E-11,,
,0.2,-3.26E-11,,
,0.202,-3.28E-11,,
,0.204,-3.32E-11,,
,0.206,-3.35E-11,,
,0.208,-3.36E-11,,
,0.21,-3.34E-11,,
,0.212,-3.30E-11,,
,0.214,-3.23E-11,,
,0.216,-3.18E-11,,
,0.218,-3.16E-11,,
,0.22,-3.20E-11,,
,0.222,-3.26E-11,,
,0.224,-3.31E-11,,
,0.226,-3.31E-11,,
,0.228,-3.29E-11,,
,0.23,-3.23E-11,,
,0.232,-3.19E-11,,
,0.234,-3.18E-11,,
,0.236,-3.20E-11,,
,0.238,-3.23E-11,,
,0.24,-3.28E-11,,
,0.242,-3.24E-11,,
,0.244,-3.21E-11,,
,0.246,-3.13E-11,,
,0.248,-3.09E-11,,
,0.25,-3.06E-11,,
,0.252,-3.07E-11,,
,0.254,-3.12E-11,,
,0.256,-3.14E-11,,
,0.258,-3.16E-11,,
,0.26,-3.12E-11,,
,0.262,-3.08E-11,,
,0.264,-3.02E-11,,
,0.266,-2.99E-11,,
,0.268,-2.99E-11,,
,0.27,-3.01E-11,,
,0.272,-3.04E-11,,
,0.274,-3.05E-11,,
,0.276,-3.04E-11,,
,0.278,-3.00E-11,,
,0.28,-2.93E-11,,
,0.282,-2.87E-11,,
,0.284,-2.86E-11,,
,0.286,-2.87E-11,,
,0.288,-2.92E-11,,
,0.29,-2.95E-11,,
,0.292,-2.98E-11,,
,0.294,-2.94E-11,,
,0.296,-2.88E-11,,
,0.298,-2.82E-11,,
,0.3,-2.78E-11,,
,0.302,-2.79E-11,,
,0.304,-2.85E-11,,
,0.306,-2.88E-11,,
,0.308,-2.91E-11,,
,0.31,-2.89E-11,,
,0.312,-2.87E-11,,
,0.314,-2.80E-11,,
,0.316,-2.75E-11,,
,0.318,-2.75E-11,,
,0.32,-2.79E-11,,
,0.322,-2.87E-11,,
,0.324,-2.91E-11,,
