5/3/2019, 5:42:46 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-3.11E-11,,
,0.004,-6.20E-11,,
,0.006,-9.32E-11,,
,0.008,-9.37E-11,,
,0.01,-9.48E-11,,
,0.012,-9.58E-11,,
,0.014,-9.63E-11,,
,0.016,-9.60E-11,,
,0.018,-9.51E-11,,
,0.02,-9.43E-11,,
,0.022,-9.40E-11,,
,0.024,-9.45E-11,,
,0.026,-9.55E-11,,
,0.028,-9.64E-11,,
,0.03,-9.71E-11,,
,0.032,-9.71E-11,,
,0.034,-9.66E-11,,
,0.036,-9.58E-11,,
,0.038,-9.51E-11,,
,0.04,-9.54E-11,,
,0.042,-9.62E-11,,
,0.044,-9.75E-11,,
,0.046,-9.85E-11,,
,0.048,-9.90E-11,,
,0.05,-9.88E-11,,
,0.052,-9.79E-11,,
,0.054,-9.71E-11,,
,0.056,-9.65E-11,,
,0.058,-9.70E-11,,
,0.06,-9.79E-11,,
,0.062,-9.90E-11,,
,0.064,-9.93E-11,,
,0.066,-9.92E-11,,
,0.068,-9.84E-11,,
,0.07,-9.75E-11,,
,0.072,-9.68E-11,,
,0.074,-9.72E-11,,
,0.076,-9.84E-11,,
,0.078,-9.97E-11,,
,0.08,-1.00E-10,,
,0.082,-1.00E-10,,
,0.084,-9.93E-11,,
,0.086,-9.85E-11,,
,0.088,-9.75E-11,,
,0.09,-9.74E-11,,
,0.092,-9.79E-11,,
,0.094,-9.90E-11,,
,0.096,-9.97E-11,,
,0.098,-9.97E-11,,
,0.1,-9.89E-11,,
,0.102,-9.78E-11,,
,0.104,-9.70E-11,,
,0.106,-9.65E-11,,
,0.108,-9.69E-11,,
,0.11,-9.74E-11,,
,0.112,-9.84E-11,,
,0.114,-9.81E-11,,
,0.116,-9.76E-11,,
,0.118,-9.61E-11,,
,0.12,-9.48E-11,,
,0.122,-9.36E-11,,
,0.124,-9.30E-11,,
,0.126,-9.34E-11,,
,0.128,-9.37E-11,,
,0.13,-9.39E-11,,
,0.132,-9.32E-11,,
,0.134,-9.20E-11,,
,0.136,-9.06E-11,,
,0.138,-8.92E-11,,
,0.14,-8.85E-11,,
,0.142,-8.83E-11,,
,0.144,-8.84E-11,,
,0.146,-8.83E-11,,
,0.148,-8.77E-11,,
,0.15,-8.63E-11,,
,0.152,-8.45E-11,,
,0.154,-8.25E-11,,
,0.156,-8.12E-11,,
,0.158,-8.09E-11,,
,0.16,-8.13E-11,,
,0.162,-8.14E-11,,
,0.164,-8.08E-11,,
,0.166,-7.94E-11,,
,0.168,-7.75E-11,,
,0.17,-7.57E-11,,
,0.172,-7.40E-11,,
,0.174,-7.31E-11,,
,0.176,-7.30E-11,,
,0.178,-7.33E-11,,
,0.18,-7.31E-11,,
,0.182,-7.21E-11,,
,0.184,-7.03E-11,,
,0.186,-6.83E-11,,
,0.188,-6.67E-11,,
,0.19,-6.56E-11,,
,0.192,-6.54E-11,,
,0.194,-6.55E-11,,
,0.196,-6.55E-11,,
,0.198,-6.51E-11,,
,0.2,-6.36E-11,,
,0.202,-6.16E-11,,
,0.204,-5.97E-11,,
,0.206,-5.86E-11,,
,0.208,-5.85E-11,,
,0.21,-5.89E-11,,
,0.212,-5.93E-11,,
,0.214,-5.89E-11,,
,0.216,-5.76E-11,,
,0.218,-5.57E-11,,
,0.22,-5.38E-11,,
,0.222,-5.22E-11,,
,0.224,-5.13E-11,,
,0.226,-5.13E-11,,
,0.228,-5.16E-11,,
,0.23,-5.14E-11,,
,0.232,-5.05E-11,,
,0.234,-4.93E-11,,
,0.236,-4.74E-11,,
,0.238,-4.58E-11,,
,0.24,-4.46E-11,,
,0.242,-4.44E-11,,
,0.244,-4.46E-11,,
,0.246,-4.46E-11,,
,0.248,-4.39E-11,,
,0.25,-4.24E-11,,
,0.252,-4.06E-11,,
,0.254,-3.89E-11,,
,0.256,-3.77E-11,,
,0.258,-3.73E-11,,
,0.26,-3.74E-11,,
,0.262,-3.73E-11,,
,0.264,-3.66E-11,,
,0.266,-3.52E-11,,
,0.268,-3.34E-11,,
,0.27,-3.14E-11,,
,0.272,-2.95E-11,,
,0.274,-2.89E-11,,
,0.276,-2.89E-11,,
,0.278,-2.90E-11,,
,0.28,-2.86E-11,,
,0.282,-2.74E-11,,
,0.284,-2.61E-11,,
,0.286,-2.42E-11,,
,0.288,-2.28E-11,,
,0.29,-2.18E-11,,
,0.292,-2.20E-11,,
,0.294,-2.24E-11,,
,0.296,-2.26E-11,,
,0.298,-2.18E-11,,
,0.3,-2.06E-11,,
,0.302,-1.87E-11,,
,0.304,-1.70E-11,,
,0.306,-1.55E-11,,
,0.308,-1.51E-11,,
,0.31,-1.53E-11,,
,0.312,-1.55E-11,,
,0.314,-1.54E-11,,
,0.316,-1.43E-11,,
,0.318,-1.29E-11,,
,0.32,-1.12E-11,,
,0.322,-1.02E-11,,
,0.324,-1.00E-11,,
