5/3/2019, 6:15:36 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.001,-6.70E-12,,
,0.003,-1.34E-11,,
,0.005,-2.04E-11,,
,0.007,-2.10E-11,,
,0.009,-2.15E-11,,
,0.011,-2.20E-11,,
,0.013,-2.21E-11,,
,0.015,-2.22E-11,,
,0.017,-2.20E-11,,
,0.019,-2.22E-11,,
,0.021,-2.26E-11,,
,0.023,-2.28E-11,,
,0.025,-2.29E-11,,
,0.027,-2.31E-11,,
,0.029,-2.34E-11,,
,0.031,-2.36E-11,,
,0.033,-2.36E-11,,
,0.035,-2.36E-11,,
,0.037,-2.38E-11,,
,0.039,-2.41E-11,,
,0.041,-2.44E-11,,
,0.043,-2.46E-11,,
,0.045,-2.46E-11,,
,0.047,-2.46E-11,,
,0.049,-2.45E-11,,
,0.051,-2.44E-11,,
,0.053,-2.44E-11,,
,0.055,-2.46E-11,,
,0.057,-2.46E-11,,
,0.059,-2.46E-11,,
,0.061,-2.45E-11,,
,0.063,-2.46E-11,,
,0.065,-2.45E-11,,
,0.067,-2.42E-11,,
,0.069,-2.41E-11,,
,0.071,-2.41E-11,,
,0.073,-2.41E-11,,
,0.075,-2.40E-11,,
,0.077,-2.39E-11,,
,0.079,-2.42E-11,,
,0.081,-2.41E-11,,
,0.083,-2.39E-11,,
,0.085,-2.33E-11,,
,0.087,-2.31E-11,,
,0.089,-2.29E-11,,
,0.091,-2.28E-11,,
,0.093,-2.26E-11,,
,0.095,-2.27E-11,,
,0.097,-2.25E-11,,
,0.099,-2.22E-11,,
,0.101,-2.17E-11,,
,0.103,-2.17E-11,,
,0.105,-2.16E-11,,
,0.107,-2.16E-11,,
,0.109,-2.14E-11,,
,0.111,-2.14E-11,,
,0.113,-2.13E-11,,
,0.115,-2.12E-11,,
,0.117,-2.07E-11,,
,0.119,-2.06E-11,,
,0.121,-2.05E-11,,
,0.123,-2.06E-11,,
,0.125,-2.05E-11,,
,0.127,-2.04E-11,,
,0.129,-2.02E-11,,
,0.131,-2.02E-11,,
,0.133,-1.99E-11,,
,0.135,-1.99E-11,,
,0.137,-1.97E-11,,
,0.139,-1.97E-11,,
,0.141,-1.97E-11,,
,0.143,-1.98E-11,,
,0.145,-1.97E-11,,
,0.147,-1.95E-11,,
,0.149,-1.90E-11,,
,0.151,-1.88E-11,,
,0.153,-1.85E-11,,
,0.155,-1.83E-11,,
,0.157,-1.83E-11,,
,0.159,-1.83E-11,,
,0.161,-1.81E-11,,
,0.163,-1.77E-11,,
,0.165,-1.75E-11,,
,0.167,-1.74E-11,,
,0.169,-1.73E-11,,
,0.171,-1.74E-11,,
,0.173,-1.77E-11,,
,0.175,-1.78E-11,,
,0.177,-1.81E-11,,
,0.179,-1.81E-11,,
,0.181,-1.83E-11,,
,0.183,-1.82E-11,,
,0.185,-1.83E-11,,
,0.187,-1.84E-11,,
,0.189,-1.86E-11,,
,0.191,-1.87E-11,,
,0.193,-1.88E-11,,
,0.195,-1.87E-11,,
,0.197,-1.88E-11,,
,0.199,-1.87E-11,,
,0.201,-1.87E-11,,
,0.203,-1.87E-11,,
,0.205,-1.89E-11,,
,0.207,-1.92E-11,,
,0.209,-1.91E-11,,
,0.211,-1.90E-11,,
,0.213,-1.88E-11,,
,0.215,-1.86E-11,,
,0.217,-1.77E-11,,
,0.219,-1.68E-11,,
,0.221,-1.58E-11,,
,0.223,-1.56E-11,,
,0.225,-1.52E-11,,
,0.227,-1.49E-11,,
,0.229,-1.43E-11,,
,0.231,-1.34E-11,,
,0.233,-1.22E-11,,
,0.235,-1.11E-11,,
,0.237,-1.05E-11,,
,0.239,-1.01E-11,,
,0.241,-9.79E-12,,
,0.243,-9.26E-12,,
,0.245,-8.72E-12,,
,0.247,-7.54E-12,,
,0.249,-6.36E-12,,
,0.251,-5.39E-12,,
,0.253,-4.86E-12,,
,0.255,-4.43E-12,,
,0.257,-3.89E-12,,
,0.259,-3.46E-12,,
,0.261,-2.92E-12,,
,0.263,-2.17E-12,,
,0.265,-1.31E-12,,
,0.267,-4.55E-13,,
,0.269,-2.53E-14,,
,0.271,1.89E-13,,
,0.273,4.04E-13,,
,0.275,7.26E-13,,
,0.277,1.16E-12,,
,0.279,1.80E-12,,
,0.281,2.55E-12,,
,0.283,3.41E-12,,
,0.285,4.27E-12,,
,0.287,4.91E-12,,
,0.289,5.34E-12,,
,0.291,5.24E-12,,
,0.293,5.56E-12,,
,0.295,5.77E-12,,
,0.297,6.52E-12,,
,0.299,7.27E-12,,
,0.301,8.35E-12,,
,0.303,8.99E-12,,
,0.305,9.31E-12,,
,0.307,9.21E-12,,
,0.309,9.31E-12,,
,0.311,9.31E-12,,
,0.313,9.85E-12,,
,0.315,1.05E-11,,
,0.317,1.12E-11,,
,0.319,1.16E-11,,
,0.321,1.17E-11,,
,0.323,1.18E-11,,
,0.325,1.21E-11,,
,0.327,1.23E-11,,
