,Task,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_DFA_alpha1_ExpRange,HRV_DFA_alpha1_ExpMean,HRV_DFA_alpha1_DimRange,HRV_DFA_alpha1_DimMean,HRV_DFA_alpha2,HRV_DFA_alpha2_ExpRange,HRV_DFA_alpha2_ExpMean,HRV_DFA_alpha2_DimRange,HRV_DFA_alpha2_DimMean,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSE,HRV_CMSE,HRV_RCMSE,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
1,ACC-1,29.52917669335132,2302.1857142857143,3745.985783534413,2990.0065978656303,4080.616082776959,524.4535317608443,3440.870139970187,,,4744.897151511007,4762.055214978465,1.6271431797571805,2.06104013332529,1113.0,619.7267999999999,0.5568075471698113,873.5,93.57142857142857,95.71428571428572,46.666666666666664,492.1875,,0.020658254949161632,0.008063724572539156,5.5211074240968317e-05,1.7105998127425941e-06,146.05266576312374,0.28019570718456505,0.0019184566452145548,-9.80434700449539,3367.281534896035,4110.722293917246,0.8191459539552691,43485797.57086379,1.2207836651960156,8.345317549819143,20073.210514285074,0.7214285714285714,0.7338129496402878,0.9509803921568627,0.3793103448275862,49.891704981570854,49.21222156805487,51.21149213205861,52.51798561151079,0.5321126542452083,0.4678873457547919,2456.300269611342,2303.298963648017,0.43541967429178796,0.564580325708212,2712.515088499981,3088.7375531709076,0.4742473443948166,0.5257526556051834,2587.5808315715294,2724.471121916163,0.8892416307217351,1.5386632334562829,1.1173365165173537,1.6290629690739105,0.1124535264543185,1.0264907209271195,3.441255706187837,1.0737736658079386,5.55913685926463,-0.27817638143727097,0.5444029540872088,0.3929161898284556,6.986425874087827,0.5157959811440694,0.0,0.3821360238506479,0.3744478417640901,0.36103740126870437,1.898290949494799,2.1437409001419985,1.1712393527838159
2,ACC-3,41.26231377359673,1658.6961325966852,2259.725849015137,393.0880511089523,2007.7961216842427,363.536549112125,2165.667087680814,,,3018.132417388092,3026.5487293571177,1.3623507070445393,1.8195812711416963,962.0,545.5967999999999,0.5671484407484406,770.0,92.26519337016575,93.92265193370166,45.25,460.9375,,0.012913742281387943,0.009408521216807457,0.0002267769385132368,2.5635814240337914e-06,41.48799819986232,0.41719964616452615,0.010055911691731385,-8.39154367332105,2140.0931301199466,2383.8165347837444,0.8977591601083899,16027115.747863997,1.1138844853215046,7.911825483377004,10621.185015793933,0.6795580110497238,0.6871508379888268,0.9105691056910569,0.2926829268292683,49.8699862514197,49.942585661564905,47.88276734600328,53.072625698324025,0.44662287636472336,0.5533771236352766,1430.2221884657952,1592.002077424882,0.6053779370791166,0.39462206292088325,1854.7531715649302,1497.4885455582667,0.5345284405369591,0.46547155946304064,1656.1468587975608,1545.4679806782399,0.6887863746818119,3.4653373232131925,1.941986862112249,2.973920848874318,-0.3059222267414301,0.5493212207314099,0.8422974763205819,0.27081774410385967,2.380039469383993,0.5489337252993897,0.7966393550259832,0.718845240782799,7.292609561092451,0.6839129405576773,0.0,0.8408111611629064,0.8107985375774822,0.44597503696159224,1.9929366811614622,2.2033135384689873,1.160197153802927
3,ACC-no task,22.682689146074875,3608.2203389830506,7256.190259305561,6836.1365922159275,6388.933847432101,6902.662250951571,9896.176434709638,,,10504.749672182279,10549.931454389061,2.0110163952323,2.9113381903786295,1069.0,753.1608,0.7045470533208607,1471.5,99.15254237288136,99.15254237288136,39.333333333333336,476.5625,,0.01563542127027061,0.0014888855744616966,1.8497822039663664e-05,5.809708856537579e-07,80.48977718939976,0.08684898105489561,0.0010790063544409132,-10.89785756039618,7459.92807245176,7100.124611945741,1.0506756543259341,166398912.53637382,0.9517685080859275,8.92812059368936,27030.70003654309,0.652542372881356,0.6666666666666666,0.8974358974358975,0.21428571428571427,49.98289003999033,50.6674940898881,49.23280480291214,47.008547008547005,0.4829311915886551,0.5170688084113447,5184.146601202421,5364.247607684765,0.5307142547845658,0.4692857452154343,5172.45054933356,4863.900165490305,0.5056426434064022,0.4943573565935977,5178.301877452668,5120.189313707469,0.6361252909379429,1.3016491729820847,0.8463147753400044,1.695655920038576,0.8527254659677361,0.5493212207314099,0.8422974763205819,0.27081774410385967,2.380039469383993,0.5489337252993897,0.6861459287838685,0.49549619824478336,6.831795591734723,0.6073983524880086,0.0,0.8398082870708572,0.8360828053857849,0.33172825357749003,2.03684282023843,2.206135072555069,1.0498947024450267
4,lane-1,29.80114340030538,2334.7014925373132,2873.888767343897,531.7342543565347,3015.799648269539,246.18829000269213,2811.7066914490388,,,3427.9966529492963,3440.956273560451,1.2309448452104275,1.468280490635147,1219.0,889.56,0.7297456931911402,1457.0,97.01492537313433,99.25373134328358,44.666666666666664,398.4375,,0.014316244850988657,0.011909407593300734,0.0005502579218575846,8.787022359121901e-06,21.64331874241163,0.44463476366962135,0.02054374234198787,-7.5051234408279255,2433.123514800988,3269.631221823939,0.7441583927142976,24992678.379941646,1.343799935323617,8.10478291043792,17574.92089767635,0.6417910447761194,0.6541353383458647,0.896551724137931,0.18421052631578946,50.05299856507288,49.96156593149569,51.492198074803596,50.37593984962406,0.5471117651583582,0.4528882348416418,1799.7089369050088,1637.418774298207,0.3872420859976775,0.6127579140023224,2034.651567216156,2559.4298831479528,0.44422042398895084,0.5557795760110492,1920.775788262508,2148.4670778458517,0.7968756379164996,0.6149004447786581,0.858523173853367,0.9403009787958712,0.9104294258889707,0.2102638863342419,1.658892370263876,0.8988545827496456,1.406093968453439,1.018388627426188,0.8734840146794483,1.000051216399207,6.926127343426699,0.9080628809883652,0.0,1.0359144567224499,1.1659155110255948,0.7371892547403465,1.9282561979035795,2.4620313264238445,1.2655682132163173
5,lane-3,32.80301191262876,2116.027397260274,2628.775437859326,654.5633400136893,2667.6184353619406,369.59336489780026,2626.1948218257535,,,3498.848500233499,3510.971961189741,1.242316352455045,1.653498676228688,1092.0,754.6433999999999,0.6910653846153846,1512.5,90.41095890410958,95.2054794520548,36.5,421.875,,0.014355592125998897,0.02706147143212476,0.0021214623589408716,2.6978660109659217e-05,12.756045997269096,0.6211674051470394,0.04869592076416338,-6.155649636142097,2482.6320823130977,2779.337196581021,0.8932460895234616,21677214.536196083,1.119512317746043,8.042973585739643,12446.008906968835,0.678082191780822,0.6896551724137931,0.92,0.3142857142857143,50.13894819367349,49.902559877449605,51.146587229671745,51.03448275862069,0.5322949343923618,0.4677050656076386,1811.2944726539267,1697.8484873836978,0.399518948227429,0.6004810517725709,1756.7498720520275,2153.7281953264282,0.45844394964560936,0.5415560503543908,1784.2306156466268,1939.231113799377,0.730786004568754,2.7565801861788977,1.7426192747476208,1.4270554318523252,0.33103407608142976,0.4132191242945249,1.3031227409532484,-0.008568478305811667,1.191575206714706,1.5250253222540815,0.8102358213716832,0.7977611489639871,7.047667795166569,0.8609519494443585,0.0,1.0481608036004564,1.0913776231434527,0.6922892597069145,1.9659316905886757,2.485460228170505,1.1818889685830165
6,lane-no task,45.74776861871659,1464.9328621908128,1322.2000601356174,285.2628760934633,1318.4991963556824,143.34583948847737,1379.2566479254394,,,1927.478697070236,1930.9047846012977,0.9025670010284718,1.3157454152456407,1048.0,655.3091999999999,0.6252950381679389,1028.0,95.40636042402826,98.58657243816255,40.42857142857143,718.75,,0.013771302803044786,0.03918959785514628,0.004131164330356776,4.0211383563130644e-05,9.4863323560314,0.685944974429141,0.07230876472433712,-5.489195991557985,1365.3558670171274,1282.1728176410027,1.064876628354334,5499741.777059425,0.9390759205086557,7.447312409014062,4816.230475909605,0.6784452296819788,0.6843971631205673,0.9067357512953368,0.23529411764705882,50.058876497887375,50.08144350725859,49.83374266856666,50.35460992907801,0.496821408399494,0.5031785916005059,962.3789917924312,968.5165822569903,0.5056955483337279,0.49430445166627224,911.7822445195922,901.4545317853157,0.5009799343272293,0.4990200656727706,937.4220461629334,935.5866189143162,0.5789468871129532,2.143811208601281,1.169457043182779,1.113369241105735,0.36654236994992784,0.5509737647986255,0.5457265046122731,0.609093694332937,0.6566890971313211,0.8224105428417798,1.195341204266915,1.4421441140564497,7.894640972506216,1.1775312644486557,0.7184051744923934,1.0711406732678783,1.020279849201042,0.9426157916367308,2.0490710118580493,3.02684723034183,1.0936290220056946
7,manual-1,46.19006826771689,1429.0994764397906,1532.9947250054258,398.2432865389477,1544.6322380146644,,,,,1940.948693700827,1946.0735309342351,1.0726998017132172,1.3581620633828573,978.0,590.0748,0.6033484662576687,919.0,90.57591623036649,97.38219895287958,47.75,281.25,,0.011407437777588077,0.012501941436031717,0.0009127809787289661,5.542614912321479e-05,13.696540273484318,0.5025383598082608,0.03669089783068393,-6.999014598011087,1376.081790411246,1681.0094583141995,0.8186044305730734,7267152.562643333,1.2215912382735805,7.568334387592598,8214.025702926574,0.6649214659685864,0.671957671957672,0.8818897637795275,0.25,50.162542099868205,49.925089471642345,50.658607181049234,51.32275132275132,0.5216611544695632,0.47833884553043676,993.892023560585,951.7278578164639,0.44502834227320703,0.5549716577267929,1121.4088839137287,1252.291864551217,0.475776413673905,0.524223586326095,1059.5704883154278,1112.209699059732,0.76467716944228,2.5881635511305383,1.6522870383534496,2.3290819561192864,-0.04881092118445855,0.7318952749646357,0.5733644112343848,0.41073022984704954,1.6234584556710343,0.691610722476556,1.0369043635317166,1.1896748315664332,7.2698116159825386,0.9717178967683839,0.0,1.0545021097436138,1.0402520990921813,0.7740648498736767,1.99154393341567,2.2448671929938406,1.1108272627486961
8,manual-3,40.430508193075624,1618.4083769633507,1251.705287632577,310.82568035496934,1253.805192722772,224.54683306183063,1251.2465958438295,,,1691.5414272195642,1696.0091476151324,0.773417454734864,1.045188254891163,1244.0,726.4739999999999,0.5839823151125402,1113.0,95.81151832460732,97.90575916230367,63.666666666666664,273.4375,,0.01576242940391947,0.03390428781641627,0.009290007965873717,0.0001459640043953681,3.649543460130672,0.5736505103359293,0.15718418388567146,-4.678815868689188,1199.2595692330765,1306.3458909493816,0.9180260584442299,4921769.252070228,1.0892936979312882,7.399091358722782,5691.977385318381,0.6596858638743456,0.6684210526315789,0.8976377952755905,0.26666666666666666,50.09200090641287,50.463663779713194,50.39365980813517,46.31578947368421,0.5104902064852257,0.48950979351477414,856.8548246209451,839.0623451494048,0.4928209231312489,0.5071790768687513,917.070561367532,930.3339036460906,0.5009017864558017,0.49909821354419803,887.47355031098,885.8743678764479,0.654835819193694,2.660522019248967,1.4880833554806314,2.1522906728100626,-0.021606911028055543,0.6684710768700841,0.571825091270715,0.6222542005830719,0.8965073845048073,1.3693643432217195,1.0750046438078535,1.4960128369395438,7.472716786150934,1.211256683430201,0.0,1.2572167031282164,1.2366026585096817,1.175621572852433,2.0017762697465837,2.9599902581586,0.9918100560256216
9,manual-no task,34.11176114053658,2092.340909090909,2861.107034044644,822.5401962760183,2875.0081461304726,588.4794481992158,2839.420225463444,,,3995.2126980746775,4006.6766730092068,1.367419153166466,1.9094463434309745,1082.0,745.7478,0.6892308687615527,1374.5,96.5909090909091,97.72727272727273,58.666666666666664,242.1875,,0.015985193082728763,0.008001597338559513,0.00014811106533352446,1.713454381291597e-06,54.02430480491843,0.331512822246108,0.006136364427884813,-8.817548124197812,2833.148245506765,2901.1052200723493,0.9765754878191251,25821570.491633203,1.023986381465693,8.118952762884762,11882.768946212474,0.6420454545454546,0.6514285714285714,0.8859649122807017,0.25,50.01755369596999,50.40865194705093,50.4906679409292,50.857142857142854,0.5098365275524608,0.49016347244753905,2022.9482894056375,1983.5345961824999,0.48146400984984655,0.5185359901501533,2013.0075082672267,2089.069713913541,0.4953140718061642,0.5046859281938356,2017.9840199998393,2036.9857343442143,0.5535465088272684,2.5128255406413063,1.2039663474893822,2.052758769180288,-0.0781535326996405,0.4542143528592311,1.1372037682263438,0.6460250566318082,2.025441038445462,0.2467125905346173,1.000399157921486,1.103332989803047,7.345795255000931,0.961657168807194,0.0,0.6653322937547916,0.6350407538816623,0.5169364853282676,2.051967113410362,2.173501400150178,1.1019614891168734
10,rest,20.15797875245487,3637.549132947977,8510.930143751393,1668.3500495819003,5621.866977092261,1657.8471692896092,8276.776395297145,,,10847.328867428125,10878.999315905074,2.3397430062625393,2.982043257966149,986.0,649.3788,0.6585991886409736,1920.0,93.0635838150289,96.53179190751445,57.666666666666664,46.875,,0.012518778494065927,0.0013952783729646217,1.9698742995131816e-05,3.5023141225092474e-07,70.83083287646522,0.10013404439740038,0.0014137070020345851,-10.834955731609822,7692.614188800289,9297.21139040642,0.8274109155717511,224686267.57266614,1.2085893250622488,9.058546639881309,44946.04175716939,0.6242774566473989,0.6337209302325582,0.8256880733944955,0.3611111111111111,49.955112829392625,48.78566938891632,52.06952422283789,52.32558139534884,0.5416085655376203,0.45839143446237973,5661.3074348020555,5208.254821022273,0.44155319648038904,0.5584468035196108,6177.947624813133,6947.740840227753,0.48221473902776285,0.517785260972237,5925.261121937127,6139.911280453098,0.8789526514535723,2.2214758999057644,1.4988374050045405,1.561315051203134,0.4738676880283654,0.6252836019666165,0.7975291254268818,0.5374750857563926,1.9360790232157852,0.8937608279922701,0.6782590557958388,0.4149116170479579,7.31902129122054,0.5116196088974095,0.0,0.9504312229399775,0.9226019681183857,0.2807385006050296,2.0068406809625015,1.6772848464517278,1.1603177002670033
